IMP POWERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 8.14 , 8.14 , 8.14 , 8.14 , 8.14 , 8.14 , 8.14 , 8.64 , 8.64 , 8.64 
Reserves, 74.24 , 78.60 , 80.19 , 85.75 , 87.38 , 86.88 , 87.51 , 93.43 , 96.74 , 101.83 
Borrowings, 66.01 , 67.90 , 72.41 , 90.57 , 97.74 , 105.71 , 97.15 , 97.00 , 95.44 , 101.54 
Other Liabilities, 58.88 , 60.18 , 50.46 , 68.88 , 88.37 , 97.94 , 115.25 , 148.46 , 168.59 , 175.56 
Total, 207.27 , 214.82 , 211.20 , 253.34 , 281.63 , 298.67 , 308.05 , 347.53 , 369.41 , 387.57 
,,,,,,,,,,
Net Block, 66.75 , 73.43 , 74.09 , 75.70 , 82.93 , 82.77 , 76.35 , 71.58 , 72.09 , 75.44 
Capital Work in Progress, 4.25 , -   , -   , 0.10 , 0.10 , 0.10 , -   , 3.70 , 4.58 , -   
Investments, 0.01 , 0.01 , 0.01 , 0.04 , 0.04 , 0.65 , 0.78 , 0.78 , 0.77 , 0.77 
Other Assets, 136.26 , 141.38 , 137.10 , 177.50 , 198.56 , 215.15 , 230.92 , 271.47 , 291.97 , 311.36 
Total, 207.27 , 214.82 , 211.20 , 253.34 , 281.63 , 298.67 , 308.05 , 347.53 , 369.41 , 387.57 
,,,,,,,,,,
Working Capital, 77.38 , 81.20 , 86.64 , 108.62 , 110.19 , 117.21 , 115.67 , 123.01 , 123.38 , 135.80 
Debtors, 80.09 , 61.23 , 66.95 , 118.92 , 118.08 , 118.64 , 124.57 , 158.48 , 163.55 , 157.63 
Inventory, 42.86 , 59.07 , 59.12 , 44.81 , 63.58 , 76.42 , 78.79 , 81.46 , 93.44 , 119.37 
,,,,,,,,,,
Debtor Days, 153.32 , 115.98 , 98.08 , 153.79 , 210.14 , 165.76 , 138.16 , 160.63 , 151.88 , 129.11 
Inventory Turnover, 4.45 , 3.26 , 4.21 , 6.30 , 3.23 , 3.42 , 4.18 , 4.42 , 4.21 , 3.73 
,,,,,,,,,,
Return on Equity,19%,5%,3%,8%,2%,0%,3%,3%,3%,5%
Return on Capital Emp,,12%,14%,17%,9%,10%,12%,15%,15%,17%
,,,,,,,,,,
