LLOYDS STEELS INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 510.46 , 116.69 , 76.15 , 121.98 , 97.71 , 195.39 , 84.90 
Expenses, -   , -   , -   , -   , -   , -   , 492.66 , 118.47 , 79.14 , 151.94 , 103.21 , 195.39 , 84.90 
Operating Profit, -   , -   , -   , -   , -   , -   , 17.80 , (1.78), (2.99), (29.96), (5.50), -   , -   
Other Income, -   , -   , -   , -   , -   , -   , 8.85 , 8.26 , 5.53 , 34.23 , 10.04 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 1.48 , 1.47 , 1.13 , 1.01 , 1.06 , 1.06 , 1.06 
Interest, -   , -   , -   , -   , -   , -   , 22.51 , 4.36 , 0.31 , 0.29 , 0.33 , 0.33 , 0.33 
Profit before tax, -   , -   , -   , -   , -   , -   , 2.65 , 0.64 , 1.10 , 2.98 , 3.15 , (1.39), (1.39)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 0.20 , 0.91 , 0.28 ,9%,9%
Net profit, -   , -   , -   , -   , -   , -   , 2.65 , 0.64 , 0.89 , 2.07 , 2.87 , (1.27), (1.27)
EPS, -   , -   , -   , -   , -   , -   , 53.00 , 0.01 , 0.01 , 0.02 , 0.03 , (0.01), (0.01)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 193.45 , 56.01 , 18.79 , 89.41 , 18.79 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 1.92 , 1.29 , 0.60 , (1.26), (0.26)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.49%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,-37.95%,60.18%,60.18%,-37.95%
,,,,,,OPM,2.16%,2.16%,2.16%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 89.41 , 89.41 , 89.41 , 89.41 , 18.79 , 89.41 , 18.79 
