CITY UNION BANK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 804.40 , 956.61 ," 1,218.41 "," 1,696.77 "," 2,188.75 "," 2,545.93 "," 2,698.86 "," 2,944.21 "," 3,173.79 "," 3,402.42 "," 3,767.16 "," 3,767.16 "," 3,704.84 "
Expenses, 172.03 , 212.80 , 278.55 , 359.09 , 469.95 , 587.95 , 654.61 , 735.47 , 936.94 ," 1,119.92 "," 1,201.01 "," 1,104.90 "," 1,181.14 "
Operating Profit, 632.37 , 743.81 , 939.86 ," 1,337.68 "," 1,718.80 "," 1,957.98 "," 2,044.25 "," 2,208.74 "," 2,236.85 "," 2,282.50 "," 2,566.15 "," 2,662.26 "," 2,523.70 "
Other Income, 123.68 , 143.50 , 157.40 , 207.14 , 273.64 , 279.86 , 414.99 , 409.56 , 483.95 , 532.08 , 514.38 , -   , -   
Depreciation, 15.94 , 13.58 , 16.83 , 13.55 , 24.68 , 37.72 , 46.73 , 52.43 , 53.01 , 52.46 , -   , -   , -   
Interest, 561.83 , 678.47 , 798.38 ," 1,197.02 "," 1,564.74 "," 1,786.54 "," 1,891.49 "," 1,963.17 "," 1,975.02 "," 1,972.12 "," 2,155.67 "," 2,155.67 "," 2,155.67 "
Profit before tax, 178.28 , 195.26 , 282.05 , 334.25 , 403.02 , 413.57 , 521.02 , 602.69 , 692.77 , 790.00 , 924.86 , 506.59 , 368.03 
Tax, 56.15 , 42.50 , 67.00 , 54.00 , 81.00 , 66.50 , 126.00 , 158.00 , 190.00 , 198.00 , 242.00 ,26%,26%
Net profit, 122.13 , 152.76 , 215.05 , 280.25 , 322.02 , 347.07 , 395.02 , 444.69 , 502.77 , 592.00 , 682.86 , 374.03 , 271.73 
EPS, 3.82 , 3.82 , 5.31 , 6.87 , 5.98 , 6.39 , 6.62 , 7.43 , 8.36 , 8.91 , 9.30 , 5.09 , 3.70 
Price to earning, 2.38 , 5.86 , 6.27 , 5.04 , 7.53 , 7.18 , 11.87 , 10.58 , 15.08 , 18.35 , 23.25 , 23.25 , 10.31 
Price, 9.10 , 22.37 , 33.31 , 34.57 , 44.98 , 45.89 , 78.62 , 78.68 , 126.14 , 163.43 , 216.15 , 118.39 , 38.14 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,19.65%,19.62%,16.01%,14.57%,14.73%,15.64%,16.61%,16.14%,3.59%,3.37%,,,
OPM,78.61%,77.75%,77.14%,78.84%,78.53%,76.91%,75.74%,75.02%,70.48%,67.08%,68.12%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,17.38%,15.80%,9.22%,8.03%,10.72%,10.72%,8.03%
,,,,,,OPM,74.45%,73.92%,72.67%,70.67%,68.12%,70.67%,68.12%
,,,,,,Price to Earning, 10.31 , 12.36 , 14.39 , 16.82 , 23.25 , 23.25 , 10.31 
