IND-SWIFT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Jun-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 7.44 , 7.44 , 8.44 , 9.24 , 9.24 , 10.07 , 10.07 , 10.07 , 10.83 , 10.83 
Reserves, 210.12 , 245.67 , 300.17 , 294.64 , 186.57 , 77.43 , (70.45), (270.43), (636.04), (690.20)
Borrowings, 385.78 , 518.95 , 589.51 , 818.55 , 970.78 ," 1,009.92 "," 1,039.61 "," 1,046.74 "," 1,048.29 "," 1,041.12 "
Other Liabilities, 210.50 , 254.02 , 339.06 , 445.72 , 240.77 , 301.16 , 248.60 , 274.40 , 245.98 , 251.02 
Total, 813.84 ," 1,026.08 "," 1,237.18 "," 1,568.15 "," 1,407.36 "," 1,398.58 "," 1,227.83 "," 1,060.78 ", 669.06 , 612.77 
,,,,,,,,,,
Net Block, 147.15 , 211.26 , 204.95 , 396.23 , 420.66 , 440.12 , 403.66 , 374.14 , 342.31 , 310.68 
Capital Work in Progress, 105.42 , 91.57 , 123.60 , 49.32 , 36.85 , 4.44 , 3.89 , 3.67 , 2.22 , -   
Investments, 30.35 , 34.10 , 45.57 , 45.57 , 45.19 , 45.19 , 45.12 , 45.12 , 43.90 , 43.91 
Other Assets, 530.92 , 689.15 , 863.06 ," 1,077.03 ", 904.66 , 908.83 , 775.16 , 637.85 , 280.63 , 258.18 
Total, 813.84 ," 1,026.08 "," 1,237.18 "," 1,568.15 "," 1,407.36 "," 1,398.58 "," 1,227.83 "," 1,060.78 ", 669.06 , 612.77 
,,,,,,,,,,
Working Capital, 320.42 , 435.13 , 524.00 , 631.31 , 663.89 , 607.67 , 526.56 , 363.45 , 34.65 , 7.16 
Debtors, 162.95 , 194.77 , 231.62 , 450.27 , 363.98 , 440.14 , 485.48 , 380.33 , 108.48 , 83.50 
Inventory, 280.95 , 368.97 , 471.75 , 365.53 , 329.46 , 253.36 , 113.37 , 90.94 , 39.06 , 45.44 
,,,,,,,,,,
Debtor Days, 101.36 , 104.36 , 96.47 , 103.34 , 337.94 , 281.94 , 424.77 , 451.08 , 150.52 , 112.96 
Inventory Turnover, 2.09 , 1.85 , 1.86 , 4.35 , 1.19 , 2.25 , 3.68 , 3.38 , 6.73 , 5.94 
,,,,,,,,,,
Return on Equity,17%,15%,14%,-7%,-57%,-132%,,,,
Return on Capital Emp,,12%,14%,10%,-3%,-4%,-10%,-20%,-57%,-12%
,,,,,,,,,,
