ANDHRA CEMENTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Jun-11,Mar-12,Mar-13,Mar-14,Jun-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 132.53 , 139.03 , 146.02 , 293.52 , 293.52 , 293.52 , 293.52 , 293.52 , 293.52 , 293.52 
Reserves, 18.10 , 53.94 , 31.33 , 65.81 , 38.87 , (45.59), (151.17), (255.47), (359.66), (430.79)
Borrowings, 321.67 , 409.97 , 369.79 , 387.71 , 603.56 , 729.57 , 863.58 , 902.81 , 927.03 , 936.63 
Other Liabilities, 90.30 , 104.33 , 204.92 , 123.35 , 186.15 , 269.29 , 371.56 , 403.32 , 489.83 , 554.82 
Total, 562.60 , 707.27 , 752.06 , 870.39 ," 1,122.10 "," 1,246.79 "," 1,377.49 "," 1,344.18 "," 1,350.72 "," 1,354.18 "
,,,,,,,,,,
Net Block, 99.69 , 76.89 , 67.86 , 62.53 , 66.08 , 64.08 , 845.32 , 817.61 , 777.49 ," 1,006.99 "
Capital Work in Progress, 248.24 , 443.31 , 525.39 , 559.62 , 791.77 , 981.05 , 265.31 , 286.09 , 301.55 , 29.84 
Investments, -   , -   , -   , -   , -   , -   , -   , 0.01 , 0.01 , 0.01 
Other Assets, 214.67 , 187.07 , 158.81 , 248.24 , 264.25 , 201.66 , 266.86 , 240.47 , 271.67 , 317.34 
Total, 562.60 , 707.27 , 752.06 , 870.39 ," 1,122.10 "," 1,246.79 "," 1,377.49 "," 1,344.18 "," 1,350.72 "," 1,354.18 "
,,,,,,,,,,
Working Capital, 124.37 , 82.74 , (46.11), 124.89 , 78.10 , (67.63), (104.70), (162.85), (218.16), (237.48)
Debtors, 18.69 , 8.57 , 6.35 , 5.32 , 5.32 , 23.07 , 46.36 , 31.52 , 27.11 , 27.21 
Inventory, 39.01 , 28.47 , 11.90 , 11.50 , 43.74 , 33.75 , 41.07 , 25.40 , 29.24 , 28.09 
,,,,,,,,,,
Debtor Days, 18.50 , 10.62 , 36.92 ," 97,090.00 ", -   , -   , 60.87 , 39.41 , 28.33 , 21.30 
Inventory Turnover, 9.45 , 10.35 , 5.27 , 0.00 , -   , -   , 6.77 , 11.49 , 11.95 , 16.60 
,,,,,,,,,,
Return on Equity,25%,25%,-14%,3%,-6%,-32%,-69%,-176%,,
Return on Capital Emp,,2%,-3%,5%,-3%,-1%,-4%,1%,0%,7%
,,,,,,,,,,
