ASTRON PAPER & BOARD MILL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 151.91 , 156.72 , 182.18 , 250.92 , 373.96 , 373.96 , 319.01 
Expenses, -   , -   , -   , -   , -   , -   , 132.82 , 137.22 , 160.56 , 219.30 , 323.33 , 323.33 , 279.67 
Operating Profit, -   , -   , -   , -   , -   , -   , 19.09 , 19.50 , 21.62 , 31.62 , 50.63 , 50.63 , 39.34 
Other Income, -   , -   , -   , -   , -   , -   , 0.22 , 0.35 , 1.32 , 0.77 , 0.63 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 2.66 , 2.79 , 3.29 , 3.52 , 5.07 , 5.07 , 5.07 
Interest, -   , -   , -   , -   , -   , -   , 10.70 , 10.70 , 11.30 , 9.89 , 9.77 , 9.77 , 9.77 
Profit before tax, -   , -   , -   , -   , -   , -   , 5.97 , 6.36 , 8.37 , 18.98 , 36.42 , 35.79 , 24.50 
Tax, -   , -   , -   , -   , -   , -   , 1.84 , 0.27 , (1.66), (1.93), 11.79 ,32%,32%
Net profit, -   , -   , -   , -   , -   , -   , 4.13 , 6.09 , 10.02 , 20.90 , 24.63 , 24.20 , 16.57 
EPS, -   , -   , -   , -   , -   , -   , 1.27 , 1.87 , 3.08 , 4.49 , 5.30 , 5.21 , 3.56 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 27.77 , 20.57 , 24.17 , 20.57 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 124.83 , 108.95 , 125.82 , 73.30 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.57%,12.44%,11.87%,12.60%,13.54%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,18.21%,49.04%,49.04%,18.21%
,,,,,,OPM,12.38%,12.38%,12.38%,12.33%,13.54%,13.54%,12.33%
,,,,,,Price to Earning, 24.17 , 24.17 , 24.17 , 24.17 , 20.57 , 24.17 , 20.57 
