HCL INFOSYSTEMS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 12,210.73 "," 11,953.01 "," 10,940.21 "," 10,294.61 "," 8,641.51 "," 5,725.41 "," 4,311.85 "," 2,499.27 "," 2,265.28 "," 2,950.26 "," 3,656.41 "," 3,842.37 "," 2,243.08 "
Expenses," 11,798.53 "," 11,570.50 "," 10,657.24 "," 10,190.29 "," 8,684.16 "," 5,758.86 "," 4,299.53 "," 2,512.59 "," 2,274.91 "," 2,969.61 "," 3,683.66 "," 3,842.37 "," 2,243.08 "
Operating Profit, 412.20 , 382.51 , 282.97 , 104.32 , (42.65), (33.45), 12.32 , (13.32), (9.63), (19.35), (27.25), -   , -   
Other Income, 34.09 , 58.90 , 74.08 , 98.15 , 115.82 , (53.55), 29.29 , (79.31), (269.71), (498.40), (94.17), -   , -   
Depreciation, 17.27 , 21.73 , 33.20 , 43.12 , 48.98 , 8.44 , 6.87 , 4.12 , 4.80 , 4.44 , 7.67 , 7.67 , 7.67 
Interest, 55.18 , 51.04 , 86.75 , 97.81 , 151.06 , 81.64 , 100.95 , 85.32 , 108.56 , 118.52 , 107.73 , 107.73 , 107.73 
Profit before tax, 373.84 , 368.64 , 237.10 , 61.54 , (126.87), (177.08), (66.21), (182.07), (376.76), (630.50), (236.82), (115.40), (115.40)
Tax, 113.40 , 107.09 , 59.87 , 13.68 , (45.54), 14.61 , 4.68 , 5.24 , (14.37), 1.07 , 6.70 ,0%,0%
Net profit, 260.44 , 261.55 , 177.23 , 47.86 , (81.33), (191.69), (70.89), (187.31), (362.39), (631.57), (243.52), (115.40), (115.40)
EPS, 15.21 , 11.98 , 7.95 , 2.15 , (3.65), (8.60), (3.18), (8.40), (16.26), (19.18), (7.40), (3.51), (3.51)
Price to earning, 7.22 , 9.17 , 11.05 , 19.25 , (9.00), (8.17), (12.46), (5.35), (3.46), (2.80), -   , -   , -   
Price, 109.87 , 109.86 , 87.85 , 41.34 , 32.85 , 70.23 , 39.62 , 44.96 , 56.29 , 53.71 , 17.10 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,42.73%,62.58%,100.62%,139.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,3.38%,3.20%,2.59%,1.01%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-14.60%,-17.07%,-19.34%,-11.88%,30.24%,30.24%,-19.34%
,,,,,,OPM,1.66%,0.32%,0.07%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 11.67 , 19.25 ,  ,  , -   , -   , -   
