CESC VENTURES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , 25.10 , 62.60 , 25.10 , 25.10 
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   , 22.94 , 50.31 , 20.17 , 22.94 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.16 , 12.29 , 4.93 , 2.16 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.23 , 61.90 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.39 , 74.19 , 4.93 , 2.16 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.08 , 8.41 ,11%,11%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.30 , 65.77 , 4.37 , 1.92 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 24.81 , 1.65 , 0.72 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 19.79 , 19.79 , 19.79 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 491.05 , 32.62 , 14.30 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.61%,19.63%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,8.61%,8.61%,8.61%,8.61%,19.63%,19.63%,8.61%
,,,,,,Price to Earning, 19.79 , 19.79 , 19.79 , 19.79 , 19.79 , 19.79 , 19.79 
