DISH TV INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 737.69 ," 1,084.79 "," 1,436.55 "," 1,957.82 "," 2,166.80 "," 2,508.98 "," 2,687.95 "," 2,227.55 "," 1,945.39 "," 2,862.60 "," 3,937.87 "," 4,212.26 "," 2,946.10 "
Expenses, 871.80 , 982.25 ," 1,184.21 "," 1,432.24 "," 1,587.28 "," 1,900.40 "," 1,952.49 "," 1,783.54 "," 1,579.14 "," 2,710.53 "," 3,460.18 "," 3,636.10 "," 2,588.72 "
Operating Profit, (134.11), 102.54 , 252.34 , 525.58 , 579.52 , 608.58 , 735.46 , 444.01 , 366.25 , 152.07 , 477.69 , 576.16 , 357.38 
Other Income, 8.69 , 60.72 , 74.51 , 30.65 , 110.64 , (32.80), 54.68 , 78.47 , 69.48 , 146.76 ," (1,592.35)", -   , -   
Depreciation, 215.41 , 303.79 , 365.40 , 518.00 , 627.55 , 597.31 , 613.75 , 59.49 , 77.66 , 206.40 , 320.28 , 320.28 , 320.28 
Interest, 134.72 , 121.63 , 151.14 , 197.08 , 128.36 , 132.68 , 175.38 , 85.87 , 100.14 , 148.90 , 250.56 , 250.56 , 250.56 
Profit before tax, (475.55), (262.16), (189.69), (158.85), (65.75), (154.21), 1.01 , 377.12 , 257.93 , (56.47)," (1,685.50)", 5.32 , (213.46)
Tax, 0.72 , (0.03), -   , -   , -   , -   , -   , (42.80), 90.04 , (89.81), (396.08),0%,0%
Net profit, (476.27), (262.13), (189.69), (158.85), (65.75), (154.21), 1.01 , 419.92 , 167.89 , 33.34 ," (1,289.42)", 5.32 , (213.46)
EPS, (5.03), (2.46), (1.78), (1.49), (0.62), (1.45), 0.01 , 3.94 , 1.58 , 0.17 , (7.00), 0.03 , (1.16)
Price to earning, (5.84), (15.04), (38.26), (41.11), (111.42), (34.16)," 8,483.29 ", 22.32 , 63.28 , 435.60 , -   , 173.73 , -   
Price, 29.40 , 37.07 , 68.22 , 61.35 , 68.81 , 49.47 , 80.41 , 87.94 , 99.67 , 75.49 , 31.00 , 5.02 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,9.45%,17.57%,26.85%,26.75%,24.26%,27.36%,19.93%,18.83%,5.31%,12.13%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,16.26%,10.35%,5.73%,2.12%,47.15%,47.15%,2.12%
,,,,,,OPM,19.20%,20.86%,18.85%,13.68%,12.13%,13.68%,12.13%
,,,,,,Price to Earning," 2,251.12 "," 2,251.12 "," 2,251.12 ", 173.73 , -   , 173.73 , -   
