ITD CEMENTATION INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Trailing,Best Case,Worst Case
Sales, 937.54 , 943.64 ," 1,024.88 "," 1,257.13 "," 1,253.97 "," 1,206.42 "," 1,313.23 "," 2,575.65 "," 2,917.35 "," 1,872.92 "," 1,776.14 "," 2,108.20 "," 1,781.14 "
Expenses, 898.53 , 880.23 , 959.70 ," 1,146.72 "," 1,144.62 "," 1,120.54 "," 1,294.91 "," 2,593.10 "," 2,706.22 "," 1,704.13 "," 1,573.74 "," 1,867.96 "," 1,693.91 "
Operating Profit, 39.01 , 63.41 , 65.18 , 110.41 , 109.35 , 85.88 , 18.32 , (17.45), 211.13 , 168.79 , 202.40 , 240.24 , 87.23 
Other Income, 14.01 , 17.44 , 23.81 , 7.48 , 8.65 , 18.70 , 102.84 , (99.26), 22.46 , 96.30 , 18.56 , -   , -   
Depreciation, 19.73 , 30.60 , 30.75 , 34.23 , 36.05 , 33.49 , 29.43 , 24.85 , 45.83 , 55.20 , 56.53 , 56.53 , 56.53 
Interest, 47.02 , 71.46 , 77.76 , 92.79 , 107.12 , 115.56 , 119.96 , 115.07 , 88.78 , 85.54 , 58.41 , 58.41 , 58.41 
Profit before tax, 6.44 , 7.66 , 12.24 , 22.03 , 26.72 , 9.35 , 27.95 , (88.75), 98.97 , 124.36 , 106.02 , 125.30 , (27.71)
Tax, 0.94 , 2.26 , 2.85 , (0.55), 4.75 , 0.04 , 8.54 , (29.45), 48.12 , 51.53 , 50.99 ,48%,48%
Net profit, 5.50 , 5.40 , 9.39 , 22.58 , 21.98 , 9.31 , 19.41 , (59.31), 50.85 , 72.82 , 55.04 , 65.04 , (14.38)
EPS, 0.48 , 0.47 , 0.82 , 1.96 , 1.91 , 0.81 , 1.25 , (3.82), 3.28 , 4.69 , 3.20 , 3.79 , (0.84)
Price to earning, 18.02 , 45.75 , 28.50 , 6.75 , 12.81 , 17.39 , 39.80 , (26.87), 49.77 , 45.40 , 35.58 , 43.58 , 29.64 
Price, 8.60 , 21.45 , 23.24 , 13.23 , 24.44 , 14.05 , 49.79 , 102.68 , 163.07 , 213.03 , 114.00 , 164.99 , (24.82)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,20.91%,21.30%,18.42%,10.19%,10.46%,12.35%,0.00%,0.00%,9.16%,8.53%,,,
OPM,4.16%,6.72%,6.36%,8.78%,8.72%,7.12%,1.40%,0.00%,7.24%,9.01%,11.40%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.99%,9.00%,8.35%,12.56%,-5.17%,12.56%,-5.17%
,,,,,,OPM,5.69%,5.68%,4.90%,5.16%,11.40%,11.40%,4.90%
,,,,,,Price to Earning, 29.98 , 29.64 , 37.59 , 43.58 , 35.58 , 43.58 , 29.64 
