ESAB INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 15.39 , 15.39 , 15.39 , 15.39 , 15.39 , 15.39 , 15.39 , 15.39 , 15.39 , 15.39 
Reserves, 121.63 , 151.80 , 175.59 , 196.20 , 220.56 , 251.88 , 273.66 , 300.15 , 327.16 , 362.87 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 1.33 , 1.37 
Other Liabilities, 70.60 , 65.35 , 109.94 , 84.34 , 100.68 , 89.11 , 88.66 , 78.87 , 94.32 , 111.42 
Total, 207.62 , 232.54 , 300.92 , 295.93 , 336.63 , 356.38 , 377.71 , 394.41 , 438.20 , 491.05 
,,,,,,,,,,
Net Block, 67.69 , 88.97 , 93.15 , 104.38 , 98.72 , 95.94 , 83.04 , 78.02 , 76.01 , 79.68 
Capital Work in Progress, 12.22 , 6.97 , 16.67 , 2.23 , 0.61 , 3.05 , 1.24 , 5.25 , 7.23 , 7.59 
Investments, 11.98 , 2.47 , 33.50 , 34.02 , 77.77 , 104.76 , 121.89 , 119.77 , 146.85 , 124.57 
Other Assets, 115.73 , 134.13 , 157.60 , 155.30 , 159.53 , 152.63 , 171.54 , 191.37 , 208.11 , 279.21 
Total, 207.62 , 232.54 , 300.92 , 295.93 , 336.63 , 356.38 , 377.71 , 394.41 , 438.20 , 491.05 
,,,,,,,,,,
Working Capital, 45.13 , 68.78 , 47.66 , 70.96 , 58.85 , 63.52 , 82.88 , 112.50 , 113.79 , 167.79 
Debtors, 16.81 , 9.61 , 27.24 , 20.12 , 22.90 , 27.38 , 43.70 , 45.44 , 46.83 , 58.98 
Inventory, 39.60 , 38.80 , 53.70 , 64.00 , 67.42 , 61.39 , 53.96 , 58.46 , 62.83 , 72.73 
,,,,,,,,,,
Debtor Days, 14.73 , 8.55 , 20.13 , 13.57 , 16.60 , 23.00 , 28.90 , 36.78 , 36.65 , 40.41 
Inventory Turnover, 10.52 , 10.57 , 9.20 , 8.45 , 7.47 , 7.08 , 10.23 , 7.71 , 7.42 , 7.32 
,,,,,,,,,,
Return on Equity,45%,40%,31%,22%,16%,12%,8%,9%,8%,10%
Return on Capital Emp,,67%,50%,36%,25%,19%,11%,14%,12%,15%
,,,,,,,,,,
