DIXON TECHNOLOGIES (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 3.10 , 3.10 , 3.10 , 3.10 , 3.10 , 10.99 , 11.33 
Reserves, -   , -   , -   , 55.77 , 57.34 , 67.21 , 76.42 , 108.15 , 178.84 , 292.49 
Borrowings, -   , -   , -   , 114.33 , 86.55 , 86.99 , 65.34 , 69.92 , 42.95 , 40.64 
Other Liabilities, -   , -   , -   , 91.66 , 115.10 , 111.49 , 139.81 , 148.54 , 278.33 , 354.38 
Total, -   , -   , -   , 264.86 , 262.09 , 268.79 , 284.67 , 329.71 , 511.11 , 698.84 
,,,,,,,,,,
Net Block, -   , -   , -   , 66.45 , 66.02 , 70.91 , 76.40 , 85.41 , 128.62 , 168.30 
Capital Work in Progress, -   , -   , -   , 3.82 , 5.22 , -   , -   , 0.01 , 1.96 , 15.94 
Investments, -   , -   , -   , 7.29 , 7.65 , 8.60 , 8.59 , 25.40 , 9.05 , 13.25 
Other Assets, -   , -   , -   , 187.30 , 183.20 , 189.28 , 199.68 , 218.89 , 371.48 , 501.35 
Total, -   , -   , -   , 264.86 , 262.09 , 268.79 , 284.67 , 329.71 , 511.11 , 698.84 
,,,,,,,,,,
Working Capital, -   , -   , -   , 95.64 , 68.10 , 77.79 , 59.87 , 70.35 , 93.15 , 146.97 
Debtors, -   , -   , -   , 52.88 , 36.98 , 37.80 , 45.76 , 68.56 , 133.74 , 127.24 
Inventory, -   , -   , -   , 67.44 , 80.16 , 86.62 , 98.92 , 88.71 , 156.66 , 231.60 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 34.00 , 18.62 , 13.00 , 14.98 , 19.99 , 29.68 , 21.01 
Inventory Turnover, -   , -   , -   , 8.42 , 9.04 , 12.26 , 11.27 , 14.11 , 10.50 , 9.54 
,,,,,,,,,,
Return on Equity,,,,-10%,3%,16%,12%,33%,23%,19%
Return on Capital Emp,,,,1%,7%,15%,13%,30%,37%,33%
,,,,,,,,,,
