CORDS CABLE INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 221.62 , 220.83 , 289.61 , 376.81 , 385.44 , 262.99 , 265.03 , 283.32 , 323.41 , 365.38 , 413.11 , 413.11 , 360.99 
Expenses, 200.03 , 201.47 , 264.56 , 341.11 , 347.09 , 237.17 , 237.71 , 254.05 , 290.34 , 329.51 , 373.76 , 371.37 , 326.60 
Operating Profit, 21.59 , 19.36 , 25.05 , 35.70 , 38.35 , 25.82 , 27.32 , 29.27 , 33.07 , 35.87 , 39.35 , 41.74 , 34.39 
Other Income, 0.78 , 1.31 , 1.27 , 1.43 , 1.71 , 1.86 , 1.88 , 1.89 , 2.13 , 1.36 , 1.50 , -   , -   
Depreciation, 2.86 , 3.67 , 4.34 , 6.77 , 8.40 , 4.99 , 5.41 , 5.42 , 5.21 , 5.06 , 5.28 , 5.28 , 5.28 
Interest, 8.39 , 10.77 , 14.10 , 22.93 , 22.64 , 19.66 , 19.99 , 20.87 , 22.14 , 22.94 , 24.28 , 24.28 , 24.28 
Profit before tax, 11.12 , 6.23 , 7.88 , 7.44 , 9.00 , 3.02 , 3.80 , 4.87 , 7.85 , 9.21 , 11.29 , 12.18 , 4.83 
Tax, 3.99 , 2.04 , 2.51 , 2.07 , 2.92 , 0.98 , 1.10 , 1.77 , 2.68 , 2.95 , 3.55 ,31%,31%
Net profit, 7.13 , 4.19 , 5.37 , 5.36 , 6.08 , 2.03 , 2.70 , 3.11 , 5.17 , 6.26 , 7.77 , 8.35 , 3.31 
EPS, 6.24 , 3.67 , 4.70 , 4.69 , 5.32 , 1.78 , 2.36 , 2.41 , 4.00 , 4.84 , 6.01 , 6.46 , 2.56 
Price to earning, 6.02 , 12.22 , 7.67 , 6.58 , 3.50 , 10.68 , 10.36 , 20.34 , 23.32 , 18.62 , 10.75 , 18.26 , 10.75 
Price, 37.58 , 44.80 , 36.06 , 30.88 , 18.63 , 18.96 , 24.47 , 48.94 , 93.28 , 90.15 , 64.60 , 117.89 , 27.50 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,15.99%,27.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,9.74%,8.77%,8.65%,9.47%,9.95%,9.82%,10.31%,10.33%,10.23%,9.82%,9.53%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.71%,3.38%,-1.06%,11.30%,13.06%,13.06%,-1.06%
,,,,,,OPM,9.73%,9.96%,10.09%,10.10%,9.53%,10.10%,9.53%
,,,,,,Price to Earning, 11.82 , 13.02 , 15.68 , 18.26 , 10.75 , 18.26 , 10.75 
