BIL ENERGY SYSTEM LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 70.23 , 101.36 , 97.04 , 58.61 , 41.95 , 27.52 , 31.73 , 18.42 , 9.16 , 14.00 , 14.58 
Expenses, -   , 0.02 , 61.38 , 97.58 , 95.86 , 60.69 , 42.37 , 27.57 , 30.75 , 28.39 , 10.16 , 13.82 , 14.58 
Operating Profit, -   , (0.02), 8.85 , 3.78 , 1.18 , (2.08), (0.42), (0.05), 0.98 , (9.97), (1.00), 0.18 , -   
Other Income, -   , -   , -   , 0.40 , 0.84 , (1.84), 6.77 , 4.09 , 3.80 , 4.08 , 13.79 , -   , -   
Depreciation, -   , -   , 2.81 , 2.98 , 3.03 , 3.05 , 4.73 , 4.28 , 4.23 , 4.93 , 3.47 , 3.47 , 3.47 
Interest, -   , -   , 4.69 , 8.70 , 9.55 , 11.09 , 0.66 , 0.55 , 0.54 , 0.53 , 0.18 , 0.18 , 0.18 
Profit before tax, -   , (0.02), 1.35 , (7.50), (10.55), (18.06), 0.95 , (0.80), -   , (11.35), 9.14 , (3.47), (3.65)
Tax, -   , -   , 0.45 , -   , (4.64), -   , -   , -   , 0.02 , -   , -   ,0%,0%
Net profit, -   , (0.02), 0.90 , (7.49), (5.92), (18.06), 0.95 , (0.81), (0.01), (11.35), 9.13 , (3.47), (3.65)
EPS, -   , (0.29), 0.09 , (0.71), (0.56), (1.71), 0.09 , (0.08), (0.00), (0.54), 0.43 , (0.16), (0.17)
Price to earning,  ,  , 15.49 , (7.00), (6.06), (0.52), 5.55 , (6.53), (360.73), (1.34), 10.88 , 10.88 , 8.22 
Price, -   , -   , 1.32 , 4.96 , 3.39 , 0.90 , 0.50 , 0.50 , 0.34 , 0.72 , 4.70 , (1.79), (1.42)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,12.60%,3.73%,1.22%,0.00%,0.00%,0.00%,3.09%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,-17.40%,-28.28%,-23.99%,-41.95%,-23.99%,-41.95%
,,,,,,OPM,3.31%,1.58%,0.55%,1.26%,0.00%,1.26%,0.00%
,,,,,,Price to Earning, 10.64 , 8.22 , 8.22 , 10.88 , 10.88 , 10.88 , 8.22 
