IL&FS ENGINEERING & CONSTRUCTION CO LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-08,Mar-09,Mar-10,Mar-11,Sep-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,598.31 "," 1,279.61 ", 918.65 ," 1,015.18 "," 2,042.56 "," 3,267.17 "," 2,359.90 "," 1,844.87 "," 1,817.38 "," 1,868.76 "," 1,901.29 "," 1,921.59 "," 1,726.48 "
Expenses," 1,406.41 "," 1,532.44 "," 1,429.14 "," 1,115.12 "," 1,987.56 "," 3,159.81 "," 2,161.87 "," 1,823.12 "," 1,640.81 "," 1,707.46 "," 1,816.83 "," 1,796.65 "," 1,649.79 "
Operating Profit, 191.90 , (252.83), (510.49), (99.94), 55.00 , 107.36 , 198.03 , 21.75 , 176.57 , 161.30 , 84.46 , 124.94 , 76.69 
Other Income, 17.97 , (15.38), 462.04 , 228.10 , 125.90 , 158.80 , 116.68 , 137.45 , 207.83 , 282.48 , 270.91 , -   , -   
Depreciation, 39.09 , 67.59 , 83.67 , 56.96 , 94.00 , 85.32 , 43.73 , 43.66 , 47.97 , 44.54 , 42.54 , 42.54 , 42.54 
Interest, 66.67 , 188.59 , 150.94 , 74.36 , 213.31 , 331.82 , 268.31 , 304.06 , 330.97 , 396.03 , 406.00 , 406.00 , 406.00 
Profit before tax, 134.55 , (487.19), (249.64), (3.16), (126.41), (150.98), 2.67 , (188.52), 5.46 , 3.21 , (93.17), (323.60), (371.85)
Tax, 34.91 , 2.60 , -   , (6.07), 8.90 , -   , -   , -   , 0.43 , (3.71), (3.71),0%,0%
Net profit, 99.64 , (489.79), (249.64), 2.91 , (135.31), (150.98), 2.67 , (188.52), 5.03 , 6.92 , (89.46), (323.60), (371.85)
EPS, 16.93 , (83.23), (42.42), 0.38 , (15.07), (16.82), 0.24 , (15.56), 0.38 , 0.53 , (6.82), (24.68), (28.36)
Price to earning, 38.43 , (0.48), (4.73), 518.43 , (4.28), (2.76), 380.52 , (2.99), 148.73 , 66.46 , -   , 107.60 , -   
Price, 650.72 , 39.71 , 200.45 , 194.99 , 64.57 , 46.39 , 90.62 , 46.48 , 57.06 , 35.07 , 6.55 ," (2,655.55)", -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,12.01%,0.00%,0.00%,0.00%,2.69%,3.29%,8.39%,1.18%,9.72%,8.63%,4.44%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,1.75%,10.68%,-1.76%,-7.48%,2.83%,2.83%,-7.48%
,,,,,,OPM,5.06%,5.06%,5.96%,6.50%,4.44%,6.50%,4.44%
,,,,,,Price to Earning, 230.52 , 278.54 , 198.57 , 107.60 , -   , 107.60 , -   
