BHARAT WIRE ROPES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 12.56 , 12.56 , 29.40 , 29.40 , 29.40 , 29.40 , 44.95 , 44.95 , 44.95 
Reserves, -   , 9.70 , 11.47 , 36.77 , 38.25 , 39.75 , 41.31 , 93.34 , 95.78 , 98.33 
Borrowings, -   , 10.54 , 30.80 , 41.44 , 35.97 , 27.72 , 42.37 , 195.96 , 371.33 , 524.77 
Other Liabilities, -   , 38.62 , 49.61 , 35.35 , 43.37 , 45.33 , 39.15 , 83.01 , 102.73 , 91.92 
Total, -   , 71.42 , 104.44 , 142.96 , 146.99 , 142.20 , 152.23 , 417.26 , 614.79 , 759.97 
,,,,,,,,,,
Net Block, -   , 17.77 , 21.51 , 60.62 , 67.87 , 67.25 , 65.80 , 65.05 , 340.09 , 565.57 
Capital Work in Progress, -   , -   , 0.28 , 7.02 , 4.93 , 7.86 , 11.37 , 159.39 , 142.08 , 2.16 
Investments, -   , -   , -   , -   , 0.84 , -   , -   , -   , -   , -   
Other Assets, -   , 53.65 , 82.65 , 75.32 , 73.35 , 67.09 , 75.06 , 192.82 , 132.62 , 192.24 
Total, -   , 71.42 , 104.44 , 142.96 , 146.99 , 142.20 , 152.23 , 417.26 , 614.79 , 759.97 
,,,,,,,,,,
Working Capital, -   , 15.03 , 33.04 , 39.97 , 29.98 , 21.76 , 35.91 , 109.81 , 29.89 , 100.32 
Debtors, -   , 25.76 , 25.18 , 22.03 , 20.56 , 22.33 , 14.18 , 16.88 , 16.93 , 23.23 
Inventory, -   , 18.74 , 41.49 , 28.78 , 34.94 , 37.05 , 38.54 , 34.42 , 43.71 , 73.45 
,,,,,,,,,,
Debtor Days, -   , 104.32 , 119.41 , 104.40 , 102.23 , 99.11 , 67.46 , 101.50 , 95.41 , 51.42 
Inventory Turnover, -   , 4.81 , 1.86 , 2.68 , 2.10 , 2.22 , 1.99 , 1.76 , 1.48 , 2.25 
,,,,,,,,,,
Return on Equity,,9%,7%,3%,2%,2%,0%,1%,2%,0%
Return on Capital Emp,,34%,12%,9%,7%,7%,5%,3%,1%,4%
,,,,,,,,,,
