GKW LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 85.73 , 25.29 , 41.03 , 32.91 , 36.60 , 17.07 , 5.15 , 11.98 , 16.97 , 17.81 , 30.43 , 30.43 , 12.93 
Expenses, 88.92 , 15.39 , 27.65 , 33.31 , 31.18 , 19.36 , 11.05 , 9.38 , 9.55 , 9.22 , 9.81 , 9.81 , 10.83 
Operating Profit, (3.19), 9.90 , 13.38 , (0.40), 5.42 , (2.29), (5.90), 2.60 , 7.42 , 8.59 , 20.62 , 20.62 , 2.11 
Other Income, 17.41 , 4.47 , 9.22 , 15.46 , 11.11 , 6.96 , 7.72 , 9.37 , 0.50 , 0.66 , 0.29 , -   , -   
Depreciation, 6.56 , 0.86 , 0.85 , 1.02 , 0.88 , 0.81 , 0.14 , 0.23 , 0.37 , 0.48 , 0.56 , 0.56 , 0.56 
Interest, 2.42 , 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, 5.24 , 13.50 , 21.75 , 14.04 , 15.64 , 4.34 , 1.68 , 11.74 , 7.55 , 8.77 , 20.35 , 20.06 , 1.55 
Tax, 1.83 , 2.33 , (1.93), 0.30 , 3.37 , 0.63 , 0.61 , 0.62 , 1.26 , 0.48 , 0.47 ,2%,2%
Net profit, 3.41 , 11.17 , 23.68 , 13.74 , 12.27 , 3.71 , 1.06 , 11.12 , 6.28 , 8.29 , 19.88 , 19.60 , 1.51 
EPS, 5.72 , 18.72 , 39.69 , 23.03 , 20.56 , 6.22 , 1.78 , 18.64 , 10.53 , 13.89 , 33.30 , 32.83 , 2.53 
Price to earning,  , 25.30 , 13.97 , 17.37 , 19.46 , 64.80 , 332.96 , 32.65 , 40.26 , 43.32 , 21.04 , 34.31 , 21.04 
Price, -   , 473.74 , 554.54 , 399.97 , 400.16 , 402.94 , 591.54 , 608.45 , 423.72 , 601.85 , 700.50 ," 1,126.37 ", 53.23 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,39.15%,32.61%,0.00%,14.81%,0.00%,0.00%,21.70%,43.72%,48.23%,67.76%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-16.02%,-11.24%,-13.42%,51.22%,70.86%,70.86%,-16.02%
,,,,,,OPM,16.28%,17.35%,26.98%,39.80%,67.76%,67.76%,16.28%
,,,,,,Price to Earning, 61.11 , 71.48 , 89.17 , 34.31 , 21.04 , 34.31 , 21.04 
