KREBS BIOCHEMICALS & INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Sep-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 9.05 , 9.05 , 9.05 , 9.51 , 9.51 , 9.51 , 9.51 , 13.06 , 13.74 , 13.74 
Reserves, 42.67 , 36.92 , 30.24 , 13.64 , (1.57), (5.91), (14.08), (3.72), (12.27), (31.52)
Borrowings, 82.67 , 86.72 , 86.15 , 86.03 , 92.62 , 93.14 , 60.91 , 30.57 , 47.55 , 56.21 
Other Liabilities, 37.32 , 25.10 , 31.38 , 39.40 , 37.07 , 41.04 , 52.10 , 76.51 , 73.06 , 87.45 
Total, 171.71 , 157.79 , 156.82 , 148.58 , 137.63 , 137.78 , 108.44 , 116.42 , 122.08 , 125.88 
,,,,,,,,,,
Net Block, 87.03 , 68.79 , 71.13 , 65.43 , 50.63 , 57.71 , 58.44 , 93.10 , 102.17 , 102.32 
Capital Work in Progress, 3.50 , 3.68 , -   , -   , 7.13 , -   , -   , 10.54 , 3.50 , 2.19 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 81.18 , 85.32 , 85.69 , 83.15 , 79.87 , 80.07 , 50.00 , 12.78 , 16.41 , 21.37 
Total, 171.71 , 157.79 , 156.82 , 148.58 , 137.63 , 137.78 , 108.44 , 116.42 , 122.08 , 125.88 
,,,,,,,,,,
Working Capital, 43.86 , 60.22 , 54.31 , 43.75 , 42.80 , 39.03 , (2.10), (63.73), (56.65), (66.08)
Debtors, 29.68 , 28.27 , 13.39 , 7.74 , 0.92 , 0.62 , 0.37 , 0.03 , 1.59 , 0.32 
Inventory, 21.30 , 29.37 , 29.40 , 30.49 , 30.82 , 30.82 , 5.45 , 5.64 , 5.45 , 11.73 
,,,,,,,,,,
Debtor Days, 216.06 , 233.29 , 69.27 , 41.01 , 29.69 , -   , -   , 9.61 , 179.67 , 3.46 
Inventory Turnover, 2.35 , 1.51 , 2.40 , 2.26 , 0.37 , -   , -   , 0.20 , 0.59 , 2.88 
,,,,,,,,,,
Return on Equity,-82%,-12%,-17%,-75%,-191%,-121%,,-175%,-1092%,
Return on Capital Emp,,-6%,-2%,-9%,-15%,-4%,-5%,-32%,-28%,-29%
,,,,,,,,,,
