JUBILANT INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.05 , 8.01 , 11.85 , 11.85 , 11.85 , 11.85 , 11.89 , 11.92 , 11.93 
Reserves, -   , (0.01), 272.03 , 252.17 , 251.70 , 250.76 , 249.57 , 248.85 , 247.54 , 246.47 
Borrowings, -   , -   , 4.23 , 2.39 , -   , 0.04 , 1.01 , 1.00 , -   , -   
Other Liabilities, -   , -   , 116.54 , 57.83 , 22.62 , 30.19 , 18.70 , 18.19 , 12.90 , 14.10 
Total, -   , 0.04 , 400.81 , 324.24 , 286.17 , 292.84 , 281.13 , 279.93 , 272.36 , 272.50 
,,,,,,,,,,
Net Block, -   , -   , 104.84 , 40.85 , 2.15 , 2.19 , 2.03 , 1.91 , 1.80 , 1.69 
Capital Work in Progress, -   , -   , 9.66 , 2.47 , -   , -   , -   , -   , -   , -   
Investments, -   , -   , 0.22 , 164.94 , 262.45 , 262.41 , 263.49 , 263.49 , 262.97 , 263.80 
Other Assets, -   , 0.04 , 286.09 , 115.98 , 21.57 , 28.24 , 15.61 , 14.53 , 7.59 , 7.01 
Total, -   , 0.04 , 400.81 , 324.24 , 286.17 , 292.84 , 281.13 , 279.93 , 272.36 , 272.50 
,,,,,,,,,,
Working Capital, -   , 0.04 , 169.55 , 58.15 , (1.05), (1.95), (3.09), (3.66), (5.31), (7.09)
Debtors, -   , -   , 76.18 , 47.86 , 7.93 , 11.67 , 1.53 , 0.48 , 3.49 , 1.68 
Inventory, -   , -   , 95.25 , 33.57 , 3.38 , 5.46 , 3.26 , 3.29 , 2.14 , 2.39 
,,,,,,,,,,
Debtor Days, -   , -   , 52.02 , 72.19 , 127.45 , 169.03 , 21.23 , 6.00 , 56.52 , 35.12 
Inventory Turnover, -   , -   , 5.61 , 7.21 , 6.72 , 4.62 , 8.07 , 8.87 , 10.53 , 7.31 
,,,,,,,,,,
Return on Equity,,-25%,10%,10%,0%,0%,0%,0%,15%,-1%
Return on Capital Emp,,-50%,30%,12%,0%,0%,0%,0%,15%,-1%
,,,,,,,,,,
