HINDUSTAN MOTORS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Sep-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 161.26 , 161.26 , 80.67 , 86.57 , 92.47 , 92.47 , 104.41 , 104.41 , 104.41 , 104.41 
Reserves, (68.97), (121.09), (39.87), (61.42), (124.07), (127.40), (165.81), (197.87), (217.01), (161.13)
Borrowings, 125.93 , 98.40 , 127.91 , 136.00 , 98.42 , 41.10 , 40.84 , 37.88 , 35.76 , 17.92 
Other Liabilities, 168.39 , 258.84 , 271.41 , 208.96 , 262.83 , 231.59 , 95.54 , 111.56 , 115.80 , 89.20 
Total, 386.61 , 397.41 , 440.12 , 370.11 , 329.65 , 237.76 , 74.98 , 55.98 , 38.96 , 50.40 
,,,,,,,,,,
Net Block, 154.00 , 138.87 , 127.84 , 108.76 , 118.16 , 39.09 , 29.31 , 27.20 , 25.58 , 24.02 
Capital Work in Progress, 3.72 , 4.27 , 2.29 , 18.59 , 0.72 , -   , -   , -   , -   , -   
Investments, 70.17 , 69.43 , 102.61 , 85.31 , 18.45 , 0.14 , 0.14 , 0.14 , 0.11 , 0.11 
Other Assets, 158.72 , 184.84 , 207.38 , 157.45 , 192.32 , 198.53 , 45.53 , 28.64 , 13.27 , 26.27 
Total, 386.61 , 397.41 , 440.12 , 370.11 , 329.65 , 237.76 , 74.98 , 55.98 , 38.96 , 50.40 
,,,,,,,,,,
Working Capital, (9.67), (74.00), (64.03), (51.51), (70.51), (33.06), (50.01), (82.92), (102.53), (62.93)
Debtors, 16.04 , 12.93 , 21.65 , 19.67 , 20.68 , 18.16 , 1.36 , 1.18 , 1.03 , 0.05 
Inventory, 74.92 , 71.96 , 95.74 , 61.85 , 81.33 , 15.18 , 10.54 , 7.00 , 3.27 , 1.28 
,,,,,,,,,,
Debtor Days, 9.79 , 8.22 , 12.07 , 14.53 , 10.44 , 36.26 , 32.87 , 531.73 , 332.70 , -   
Inventory Turnover, 7.98 , 7.98 , 6.84 , 7.99 , 8.89 , 12.04 , 1.43 , 0.12 , 0.35 , (2.58)
,,,,,,,,,,
Return on Equity,-42%,-127%,2%,-119%,,,,,,
Return on Capital Emp,,-12%,17%,-8%,-43%,153%,,,,
,,,,,,,,,,
