GUJARAT GAS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 0.05 , 137.68 , 137.68 , 137.68 , 137.68 , 137.68 
Reserves, -   , -   , -   , -   , (3.86)," 1,498.12 "," 1,853.23 "," 1,371.79 "," 1,507.20 "," 1,708.73 "
Borrowings, -   , -   , -   , -   ," 1,500.00 "," 3,301.33 "," 3,225.72 "," 2,356.61 "," 2,358.88 "," 2,328.22 "
Other Liabilities, -   , -   , -   , -   , 353.98 ," 1,734.37 "," 1,694.63 "," 2,224.31 "," 2,410.13 "," 2,501.40 "
Total, -   , -   , -   , -   ," 1,850.17 "," 6,671.50 "," 6,911.26 "," 6,090.39 "," 6,413.89 "," 6,676.03 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   ," 4,473.44 "," 4,486.66 "," 4,672.88 "," 4,902.98 "," 5,094.01 "
Capital Work in Progress, -   , -   , -   , -   , -   , 270.07 , 357.39 , 468.16 , 505.72 , 478.33 
Investments, -   , -   , -   , -   ," 1,847.59 ", 840.99 ," 1,099.02 ", 121.77 , 68.28 , 16.09 
Other Assets, -   , -   , -   , -   , 2.58 ," 1,087.00 ", 968.19 , 827.58 , 936.91 ," 1,087.60 "
Total, -   , -   , -   , -   ," 1,850.17 "," 6,671.50 "," 6,911.26 "," 6,090.39 "," 6,413.89 "," 6,676.03 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , (351.40), (647.37), (726.44)," (1,396.73)"," (1,473.22)"," (1,413.80)"
Debtors, -   , -   , -   , -   , -   , 545.13 , 360.60 , 300.49 , 347.51 , 391.71 
Inventory, -   , -   , -   , -   , -   , 37.54 , 41.09 , 41.34 , 41.65 , 56.78 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 25.52 , 14.61 , 17.96 , 24.91 , 23.16 
Inventory Turnover, -   , -   , -   , -   , -   , 207.71 , 219.18 , 147.69 , 122.27 , 108.74 
,,,,,,,,,,
Return on Equity,,,,,,2%,22%,12%,13%,16%
Return on Capital Emp,,,,,0%,13%,19%,11%,13%,16%
,,,,,,,,,,
