DILIGENT MEDIA CORPORATION LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , 153.81 , 158.20 , 127.76 , 100.69 , 85.31 , 124.04 , 113.75 , 180.35 , 119.25 
Expenses, -   , -   , -   , -   , 268.58 , 273.92 , 210.30 , 122.09 , 129.30 , 136.48 , 134.10 , 180.35 , 119.25 
Operating Profit, -   , -   , -   , -   , (114.77), (115.72), (82.54), (21.40), (43.99), (12.44), (20.35), -   , -   
Other Income, -   , -   , -   , -   , 0.81 , 1.78 , 1.64 , 10.28 , 6.03 , 3.07 , 3.08 , -   , -   
Depreciation, -   , -   , -   , -   , 14.44 , 20.39 , 10.56 , 1.23 , 0.48 , 12.55 , 12.83 , 12.83 , 12.83 
Interest, -   , -   , -   , -   , 55.49 , 47.32 , 39.09 , 1.19 , 0.40 , 38.03 , 41.73 , 41.73 , 41.73 
Profit before tax, -   , -   , -   , -   , (183.89), (181.64), (130.56), (13.51), (38.85), (59.98), (71.83), (54.56), (54.56)
Tax, -   , -   , -   , -   , (57.28), (14.90), (34.77), (4.97), (13.33), 38.20 , 4.65 ,0%,0%
Net profit, -   , -   , -   , -   , (126.61), (166.74), (95.79), (8.55), (25.52), (98.18), (76.48), (54.56), (54.56)
EPS, -   , -   , -   , -   , (1.42), (1.87), (1.08), (0.10), (0.29), (8.34), (6.50), (4.63), (4.63)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , (1.02), -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.50 , 0.70 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,-4.21%,-0.98%,45.40%,45.40%,-4.21%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
