HDFC LIFE INSURANCE COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   ," 1,994.88 "," 1,994.88 "," 1,994.88 "," 1,995.29 "," 1,998.48 "," 2,011.74 "
Reserves, -   , -   , -   , -   , (657.11), (66.24), 546.97 ," 1,113.31 "," 1,840.20 "," 2,736.56 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   ," 40,580.51 "," 50,346.59 "," 66,766.70 "," 73,440.09 "," 91,267.44 "," 1,05,733.16 "
Total, -   , -   , -   , -   ," 41,918.28 "," 52,275.23 "," 69,308.55 "," 76,548.69 "," 95,106.12 "," 1,10,481.46 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 252.33 , 278.56 , 345.46 , 334.18 , 336.83 , 336.13 
Capital Work in Progress, -   , -   , -   , -   , 29.48 , 10.13 , 6.44 , 12.16 , 16.09 , 5.28 
Investments, -   , -   , -   , -   ," 12,071.49 "," 16,321.88 "," 22,104.71 "," 28,503.04 "," 91,737.60 "," 1,06,602.86 "
Other Assets, -   , -   , -   , -   ," 29,564.98 "," 35,664.66 "," 46,851.94 "," 47,699.31 "," 3,015.60 "," 3,537.19 "
Total, -   , -   , -   , -   ," 41,918.28 "," 52,275.23 "," 69,308.55 "," 76,548.69 "," 95,106.12 "," 1,10,481.46 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   ," (11,015.53)"," (14,681.93)"," (19,914.76)"," (25,740.78)"," (88,251.84)"," (1,02,195.97)"
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,33%,38%,31%,26%,23%,23%
Return on Capital Emp,,,,,77%,49%,41%,36%,31%,31%
,,,,,,,,,,
