ARTEMIS GLOBAL LIFE SCIENCES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 0.41 , 0.41 , 0.40 , 0.41 , 0.41 
Expenses, -   , -   , -   , -   , -   , -   , 0.01 , 0.21 , 0.05 , 0.53 , 0.64 , 0.23 , 0.41 
Operating Profit, -   , -   , -   , -   , -   , -   , (0.01), (0.21), 0.36 , (0.12), (0.24), 0.18 , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , 0.36 , -   , (0.11), -   , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 0.15 , 0.15 , 0.16 , 0.16 , 0.16 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, -   , -   , -   , -   , -   , -   , (0.01), 0.14 , 0.21 , (0.38), (0.40), 0.02 , (0.16)
Tax, -   , -   , -   , -   , -   , -   , -   , 0.07 , 0.06 , (0.08), (0.27),0%,0%
Net profit, -   , -   , -   , -   , -   , -   , (0.01), 0.07 , 0.15 , (0.30), (0.11), 0.02 , (0.16)
EPS, -   , -   , -   , -   , -   , -   , (0.20), 1.40 , 0.02 , (0.05), (0.02), 0.00 , (0.02)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ," (2,268.53)", -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 102.82 , 56.55 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,87.80%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,0.00%,0.00%,0.00%
,,,,,,OPM,43.90%,43.90%,43.90%,43.90%,0.00%,43.90%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
