ADROIT INFOTECH LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 20.53 , 20.72 , 20.72 , 23.72 , 17.47 , 17.47 , 17.47 , 17.47 , 18.07 , 18.27 
Reserves, (6.65), (6.82), (6.81), (22.45), (1.37), (1.52), (2.29), 0.09 , 4.34 , 3.65 
Borrowings, 0.58 , -   , -   , -   , -   , -   , 3.92 , 0.01 , -   , 1.30 
Other Liabilities, 9.08 , 9.84 , 9.84 , 15.26 , 0.23 , 0.23 , 0.46 , 1.67 , 1.19 , 9.82 
Total, 23.54 , 23.74 , 23.75 , 16.53 , 16.33 , 16.18 , 19.56 , 19.24 , 23.60 , 33.04 
,,,,,,,,,,
Net Block, 1.14 , 1.01 , 0.88 , 2.46 , 2.33 , 2.23 , 2.94 , 2.96 , 2.93 , 4.33 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 3.99 , 3.99 , 3.99 , -   , -   , -   , 0.10 , 6.35 , 0.12 , 0.02 
Other Assets, 18.41 , 18.74 , 18.88 , 14.07 , 14.00 , 13.95 , 16.52 , 9.93 , 20.55 , 28.69 
Total, 23.54 , 23.74 , 23.75 , 16.53 , 16.33 , 16.18 , 19.56 , 19.24 , 23.60 , 33.04 
,,,,,,,,,,
Working Capital, 9.33 , 8.90 , 9.04 , (1.19), 13.77 , 13.72 , 16.06 , 8.26 , 19.36 , 18.87 
Debtors, 1.48 , 1.49 , 1.61 , 1.11 , 1.52 , 1.52 , 9.69 , 6.17 , 10.65 , 15.89 
Inventory, 14.32 , 14.32 , 14.32 , 10.19 , 9.89 , 9.89 , 4.46 , -   , -   , -   
,,,,,,,,,,
Debtor Days," 7,717.14 ", -   ," 2,938.25 "," 1,038.85 "," 1,353.17 "," 13,870.00 ", 366.13 , 211.66 , 923.34 , 257.20 
Inventory Turnover, 0.00 , -   , 0.01 , 0.04 , 0.04 , 0.00 , 2.17 , -   , -   , -   
,,,,,,,,,,
Return on Equity,-2%,-2%,0%,-1231%,-2%,-1%,-4%,13%,6%,9%
Return on Capital Emp,,-1%,0%,-206%,-3%,-1%,-2%,13%,7%,12%
,,,,,,,,,,
