GTPL HATHWAY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 1.49 , 1.69 , 2.00 , 2.00 , 98.35 , 98.35 , 112.46 
Reserves, -   , -   , -   , 192.70 , 249.86 , 314.70 , 331.03 , 253.88 , 293.13 , 550.21 
Borrowings, -   , -   , -   , 81.94 , 158.56 , 216.31 , 188.74 , 390.09 , 463.39 , 253.09 
Other Liabilities, -   , -   , -   , 146.62 , 184.36 , 309.33 , 369.83 , 508.29 , 505.74 , 496.76 
Total, -   , -   , -   , 422.75 , 594.47 , 842.34 , 891.60 ," 1,250.61 "," 1,360.61 "," 1,412.52 "
,,,,,,,,,,
Net Block, -   , -   , -   , 183.80 , 268.44 , 439.92 , 451.41 , 552.01 , 613.78 , 628.95 
Capital Work in Progress, -   , -   , -   , 3.57 , 14.86 , 6.18 , 1.51 , 1.95 , 7.45 , 4.96 
Investments, -   , -   , -   , 95.99 , 95.92 , 107.01 , 127.65 , 138.46 , 155.25 , 195.51 
Other Assets, -   , -   , -   , 139.39 , 215.25 , 289.23 , 311.03 , 558.19 , 584.13 , 583.10 
Total, -   , -   , -   , 422.75 , 594.47 , 842.34 , 891.60 ," 1,250.61 "," 1,360.61 "," 1,412.52 "
,,,,,,,,,,
Working Capital, -   , -   , -   , (7.23), 30.89 , (20.10), (58.80), 49.90 , 78.39 , 86.34 
Debtors, -   , -   , -   , 62.61 , 80.76 , 165.87 , 187.56 , 245.03 , 301.31 , 324.72 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , 81.01 , 86.21 , 136.09 , 145.58 , 182.25 , 179.48 , 160.39 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,14%,12%,8%,5%,4%,10%,9%
Return on Capital Emp,,,,36%,19%,16%,12%,9%,14%,14%
,,,,,,,,,,
