ALLCARGO LOGISTICS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 512.10 , 505.60 , 701.80 ," 1,095.02 "," 1,018.09 ", 989.01 ," 1,137.65 "," 1,205.68 "," 1,173.59 "," 1,196.31 "," 1,506.26 "," 1,506.26 "," 1,221.77 "
Expenses, 385.58 , 362.12 , 532.00 , 771.52 , 810.26 , 787.97 , 904.57 , 976.07 , 940.33 ," 1,057.12 "," 1,313.89 "," 1,252.63 "," 1,065.73 "
Operating Profit, 126.52 , 143.48 , 169.80 , 323.50 , 207.83 , 201.04 , 233.08 , 229.61 , 233.26 , 139.19 , 192.37 , 253.63 , 156.04 
Other Income, 20.53 , 15.34 , 28.59 , 36.55 , 64.26 , 33.03 , 41.56 , 42.18 , 26.42 , 16.09 , 132.16 , -   , -   
Depreciation, 25.47 , 37.64 , 40.24 , 89.04 , 116.76 , 134.75 , 110.86 , 100.31 , 98.37 , 101.68 , 98.33 , 98.33 , 98.33 
Interest, 12.45 , 14.96 , 13.32 , 50.55 , 27.05 , 28.99 , 38.30 , 26.08 , 24.13 , 23.13 , 31.06 , 31.06 , 31.06 
Profit before tax, 109.13 , 106.22 , 144.83 , 220.46 , 128.28 , 70.33 , 125.48 , 145.40 , 137.18 , 30.47 , 195.14 , 124.24 , 26.65 
Tax, 16.47 , 8.42 , 23.71 , 36.40 , 12.73 , 14.21 , 27.99 , 24.37 , 30.86 , 1.60 , 4.33 ,2%,2%
Net profit, 92.66 , 97.80 , 121.12 , 184.06 , 115.55 , 56.12 , 97.49 , 121.03 , 106.32 , 28.87 , 190.81 , 121.48 , 26.05 
EPS, 3.90 , 3.90 , 4.72 , 7.17 , 4.58 , 2.23 , 3.87 , 4.80 , 4.33 , 1.18 , 7.77 , 4.94 , 1.06 
Price to earning, 16.76 , 24.89 , 15.10 , 8.82 , 12.67 , 34.09 , 43.48 , 32.32 , 40.78 , 128.21 , 14.73 , 54.01 , 14.73 
Price, 65.28 , 97.02 , 71.31 , 63.28 , 58.01 , 75.90 , 168.16 , 155.16 , 176.46 , 150.66 , 114.40 , 267.04 , 15.62 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,6.03%,12.76%,32.32%,10.64%,16.41%,33.70%,25.86%,41.66%,46.22%,170.21%,,,
OPM,24.71%,28.38%,24.19%,29.54%,20.41%,20.33%,20.49%,19.04%,19.88%,11.63%,12.77%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.89%,7.92%,3.28%,1.69%,25.91%,25.91%,1.69%
,,,,,,OPM,21.05%,20.06%,18.17%,16.84%,12.77%,16.84%,12.77%
,,,,,,Price to Earning, 33.81 , 39.39 , 48.94 , 54.01 , 14.73 , 54.01 , 14.73 
