AGC NETWORKS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-09,Sep-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 14.23 , 14.20 , 14.20 , 14.20 , 28.50 , 28.47 , 28.47 , 28.47 , 28.47 , 28.47 
Reserves, 219.89 , 247.40 , 256.40 , 247.90 , 210.50 , 65.42 , 65.04 , 28.54 , 20.64 , 57.04 
Borrowings, -   , -   , -   , 90.20 , 235.50 , 147.93 , 137.06 , 138.01 , 134.33 , 117.27 
Other Liabilities, 168.27 , 161.70 , 192.40 , 273.00 , 309.80 , 294.70 , 192.40 , 178.89 , 143.72 , 135.85 
Total, 402.39 , 423.30 , 463.00 , 625.30 , 784.30 , 536.52 , 422.97 , 373.91 , 327.16 , 338.63 
,,,,,,,,,,
Net Block, 18.47 , 17.90 , 18.60 , 27.50 , 22.50 , 18.56 , 12.21 , 12.23 , 11.42 , 9.36 
Capital Work in Progress, 0.28 , 3.40 , 3.10 , -   , -   , 2.52 , -   , -   , -   , -   
Investments, 15.00 , 14.50 , 95.00 , 95.00 , 49.20 , 48.72 , 48.72 , 48.72 , 48.72 , 48.72 
Other Assets, 368.64 , 387.50 , 346.30 , 502.80 , 712.60 , 466.72 , 362.04 , 312.96 , 267.02 , 280.55 
Total, 402.39 , 423.30 , 463.00 , 625.30 , 784.30 , 536.52 , 422.97 , 373.91 , 327.16 , 338.63 
,,,,,,,,,,
Working Capital, 200.37 , 225.80 , 153.90 , 229.80 , 402.80 , 172.02 , 169.64 , 134.07 , 123.30 , 144.70 
Debtors, 126.38 , 128.80 , 197.40 , 267.00 , 316.90 , 168.80 , 124.19 , 104.17 , 76.31 , 103.64 
Inventory, 48.82 , 45.60 , 41.00 , 60.60 , 77.80 , 61.61 , 18.09 , 13.76 , 11.83 , 22.45 
,,,,,,,,,,
Debtor Days, 90.31 , 95.05 , 235.77 , 156.93 , 194.63 , 201.83 , 133.27 , 121.40 , 113.24 , 124.69 
Inventory Turnover, 10.46 , 10.85 , 7.45 , 10.25 , 7.64 , 4.95 , 18.80 , 22.76 , 20.79 , 13.51 
,,,,,,,,,,
Return on Equity,7%,13%,5%,6%,-10%,-155%,0%,-64%,-33%,37%
Return on Capital Emp,,22%,7%,11%,4%,-32%,11%,-6%,3%,27%
,,,,,,,,,,
