CENTRUM CAPITAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 6.83 , 6.83 , 6.93 , 6.93 , 6.93 , 41.60 , 41.60 , 41.60 , 41.60 , 41.60 
Reserves, 191.41 , 199.50 , 201.22 , 221.80 , 235.52 , 211.03 , 218.11 , 221.90 , 259.21 , 317.53 
Borrowings, 48.87 , 24.63 , 93.97 , 116.98 , 115.21 , 181.29 , 184.02 , 172.49 , 168.27 , 389.62 
Other Liabilities, 16.77 , 13.89 , 14.17 , 29.35 , 33.91 , 25.72 , 24.53 , 113.32 , 70.79 , 104.85 
Total, 263.88 , 244.85 , 316.29 , 375.06 , 391.57 , 459.64 , 468.26 , 549.31 , 539.87 , 853.60 
,,,,,,,,,,
Net Block, 26.99 , 23.80 , 20.74 , 17.74 , 14.35 , 11.17 , 6.94 , 6.38 , 5.27 , 7.42 
Capital Work in Progress, -   , -   , 0.03 , -   , -   , -   , -   , -   , -   , 0.09 
Investments, 90.50 , 92.12 , 199.67 , 218.23 , 217.06 , 278.94 , 260.59 , 265.82 , 262.48 , 639.34 
Other Assets, 146.39 , 128.93 , 95.85 , 139.09 , 160.16 , 169.53 , 200.73 , 277.11 , 272.12 , 206.75 
Total, 263.88 , 244.85 , 316.29 , 375.06 , 391.57 , 459.64 , 468.26 , 549.31 , 539.87 , 853.60 
,,,,,,,,,,
Working Capital, 129.62 , 115.04 , 81.68 , 109.74 , 126.25 , 143.81 , 176.20 , 163.79 , 201.33 , 101.90 
Debtors, 39.36 , 38.37 , 36.05 , 49.36 , 36.16 , 45.76 , 60.28 , 79.96 , 38.64 , 50.51 
Inventory, 1.15 , 1.87 , 2.67 , 0.01 , 7.45 , 2.90 , 4.32 , 26.74 , 17.08 , 32.02 
,,,,,,,,,,
Debtor Days, 184.21 , 200.76 , 218.87 , 300.32 , 186.34 , 272.56 , 299.27 , 574.52 , 362.56 , 439.06 
Inventory Turnover, 67.82 , 37.30 , 22.52 ," 5,999.00 ", 9.51 , 21.13 , 17.02 , 1.90 , 2.28 , 1.31 
,,,,,,,,,,
Return on Equity,8%,4%,-6%,-4%,6%,5%,4%,2%,12%,18%
Return on Capital Emp,,8%,-3%,2%,9%,7%,8%,6%,17%,16%
,,,,,,,,,,
