DILIP BUILDCON LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 35.24 , 35.24 , 35.24 , 35.24 , 35.24 , 117.14 , 117.14 , 136.77 , 136.77 
Reserves, -   , 30.31 , 68.31 , 226.24 , 476.00 , 669.13 , 755.83 , 944.98 ," 1,716.12 "," 2,320.29 "
Borrowings, -   , 87.54 , 296.36 , 721.62 , 937.77 ," 1,258.92 "," 2,418.43 "," 2,511.42 "," 2,563.41 "," 2,954.86 "
Other Liabilities, -   , 66.14 , 124.82 , 354.65 , 542.37 , 821.76 ," 1,263.75 "," 1,749.24 "," 2,233.01 "," 3,935.79 "
Total, -   , 219.23 , 524.73 ," 1,337.75 "," 1,991.38 "," 2,785.05 "," 4,555.15 "," 5,322.78 "," 6,649.31 "," 9,347.71 "
,,,,,,,,,,
Net Block, -   , 98.45 , 227.06 , 533.13 , 547.50 , 639.09 ," 1,189.00 "," 1,420.39 "," 1,682.47 "," 1,831.92 "
Capital Work in Progress, -   , 20.46 , 0.12 , 0.29 , 0.12 , -   , -   , -   , -   , -   
Investments, -   , 6.50 , 6.47 , 58.66 , 95.18 , 183.03 , 278.92 , 289.82 , 469.54 , 241.51 
Other Assets, -   , 93.82 , 291.08 , 745.67 ," 1,348.58 "," 1,962.93 "," 3,087.23 "," 3,612.57 "," 4,497.30 "," 7,274.28 "
Total, -   , 219.23 , 524.73 ," 1,337.75 "," 1,991.38 "," 2,785.05 "," 4,555.15 "," 5,322.78 "," 6,649.31 "," 9,347.71 "
,,,,,,,,,,
Working Capital, -   , 27.68 , 166.26 , 391.02 , 806.21 ," 1,141.17 "," 1,823.48 "," 1,863.33 "," 2,264.29 "," 3,338.49 "
Debtors, -   , 65.90 , 123.88 , 274.60 , 670.72 ," 1,058.33 "," 1,263.65 ", 911.86 ," 1,016.52 "," 1,604.02 "
Inventory, -   , 1.05 , 64.39 , 197.21 , 362.81 , 521.94 , 947.62 ," 1,580.35 "," 1,663.86 "," 2,026.23 "
,,,,,,,,,,
Debtor Days, -   , 104.34 , 104.11 , 84.42 , 128.13 , 166.81 , 175.77 , 83.34 , 74.01 , 76.03 
Inventory Turnover, -   , 219.54 , 6.74 , 6.02 , 5.27 , 4.44 , 2.77 , 2.53 , 3.01 , 3.80 
,,,,,,,,,,
Return on Equity,,29%,38%,41%,49%,28%,17%,21%,19%,25%
Return on Capital Emp,,49%,27%,32%,33%,23%,17%,18%,19%,23%
,,,,,,,,,,
