ALEMBIC PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   ," 1,164.93 "," 1,374.30 "," 1,492.64 "," 1,843.79 "," 2,018.99 "," 3,009.02 "," 2,985.90 "," 2,945.26 "," 3,660.27 "," 3,660.27 "," 3,436.22 "
Expenses, -   , -   ," 1,009.20 "," 1,165.70 "," 1,248.88 "," 1,484.77 "," 1,611.19 "," 2,026.31 "," 2,352.68 "," 2,312.72 "," 2,781.57 "," 2,739.71 "," 2,696.63 "
Operating Profit, -   , -   , 155.73 , 208.60 , 243.76 , 359.02 , 407.80 , 982.71 , 633.22 , 632.54 , 878.70 , 920.56 , 739.58 
Other Income, -   , -   , 3.78 , 12.76 , 13.34 , 3.78 , 2.60 , 6.82 , 2.60 , 6.67 , 6.42 , -   , -   
Depreciation, -   , -   , 29.59 , 33.65 , 34.96 , 40.49 , 44.41 , 71.86 , 82.90 , 101.76 , 105.59 , 105.59 , 105.59 
Interest, -   , -   , 27.59 , 37.55 , 23.98 , 10.40 , 3.14 , 3.68 , 3.21 , 2.22 , 14.88 , 14.88 , 14.88 
Profit before tax, -   , -   , 102.33 , 150.16 , 198.16 , 311.92 , 362.87 , 913.99 , 549.71 , 535.23 , 764.65 , 800.09 , 619.11 
Tax, -   , -   , 20.82 , 29.62 , 40.71 , 73.63 , 76.25 , 215.28 , 119.08 , 113.24 , 153.44 ,20%,20%
Net profit, -   , -   , 81.51 , 120.54 , 157.44 , 238.29 , 286.61 , 698.71 , 430.63 , 421.99 , 611.21 , 639.54 , 494.88 
EPS, -   , -   , 14.82 , 6.39 , 8.35 , 12.64 , 15.20 , 37.06 , 22.84 , 22.38 , 32.42 , 33.93 , 26.25 
Price to earning,  ,  ,  , 8.60 , 13.51 , 22.39 , 31.21 , 15.87 , 27.01 , 23.33 , 16.01 , 20.56 , 16.01 
Price, -   , -   , -   , 55.00 , 112.81 , 283.06 , 474.49 , 588.34 , 617.01 , 522.27 , 519.25 , 697.47 , 420.42 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,6.75%,21.89%,29.94%,23.73%,23.02%,9.44%,17.51%,17.87%,,,
OPM,0.00%,0.00%,13.37%,15.18%,16.33%,19.47%,20.20%,32.66%,21.21%,21.48%,24.01%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,14.17%,14.56%,13.41%,24.28%,24.28%,13.41%
,,,,,,OPM,21.52%,22.13%,23.55%,25.15%,24.01%,25.15%,21.52%
,,,,,,Price to Earning, 19.74 , 19.74 , 22.64 , 20.56 , 16.01 , 20.56 , 16.01 
