IMP POWERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 190.66 , 192.70 , 249.15 , 282.24 , 205.10 , 261.25 , 329.10 , 360.11 , 393.05 , 445.64 , 431.81 , 505.27 , 483.04 
Expenses, 158.45 , 171.02 , 218.70 , 248.62 , 185.27 , 237.06 , 298.96 , 326.32 , 358.44 , 405.38 , 389.36 , 455.60 , 439.26 
Operating Profit, 32.21 , 21.68 , 30.45 , 33.62 , 19.83 , 24.19 , 30.14 , 33.79 , 34.61 , 40.26 , 42.45 , 49.67 , 43.78 
Other Income, 0.63 , 0.21 , (4.31), 0.05 , 0.22 , 0.41 , 0.65 , 0.74 , 0.87 , 0.92 , -   , -   , -   
Depreciation, 2.57 , 3.50 , 3.92 , 4.26 , 3.33 , 4.93 , 6.34 , 5.93 , 6.04 , 6.59 , 6.67 , 6.67 , 6.67 
Interest, 7.74 , 11.57 , 16.36 , 19.22 , 13.30 , 19.06 , 20.77 , 23.93 , 24.37 , 26.86 , 28.14 , 28.14 , 28.14 
Profit before tax, 22.53 , 6.82 , 5.86 , 10.19 , 3.41 , 0.61 , 3.69 , 4.65 , 5.07 , 7.72 , 7.64 , 14.86 , 8.97 
Tax, 6.81 , 2.24 , 3.07 , 2.99 , 1.12 , 0.38 , 1.11 , 1.56 , 1.67 , 2.27 , 2.22 ,29%,29%
Net profit, 15.72 , 4.58 , 2.79 , 7.20 , 2.28 , 0.22 , 2.59 , 3.10 , 3.39 , 5.46 , 5.43 , 10.54 , 6.37 
EPS, 19.31 , 5.63 , 3.43 , 8.84 , 2.80 , 0.27 , 3.18 , 3.59 , 3.92 , 6.32 , 6.29 , 12.21 , 7.37 
Price to earning, 4.59 , 20.35 , 27.58 , 3.98 , 9.47 , 93.90 , 24.88 , 28.76 , 25.56 , 15.17 , 6.42 , 18.98 , 6.42 
Price, 88.57 , 114.47 , 94.51 , 35.24 , 26.52 , 25.37 , 79.15 , 103.19 , 100.27 , 95.83 , 40.35 , 231.64 , 47.30 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,29.03%,16.94%,17.98%,186.36%,15.83%,13.87%,12.68%,7.88%,,,
OPM,16.89%,11.25%,12.22%,11.91%,9.67%,9.26%,9.16%,9.38%,8.81%,9.03%,9.83%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.89%,8.66%,16.79%,10.63%,13.38%,13.38%,8.66%
,,,,,,OPM,10.34%,9.51%,9.11%,9.06%,9.83%,9.83%,9.06%
,,,,,,Price to Earning, 23.69 , 26.02 , 32.45 , 18.98 , 6.42 , 18.98 , 6.42 
