BALAJI TELEFILMS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 294.92 , 152.82 , 150.54 , 129.36 , 140.85 , 131.54 , 209.69 , 256.85 , 408.46 , 416.59 , 440.30 , 523.70 , 433.82 
Expenses, 255.20 , 153.45 , 159.68 , 138.03 , 134.46 , 126.77 , 196.95 , 222.61 , 404.85 , 369.85 , 425.59 , 482.76 , 419.32 
Operating Profit, 39.72 , (0.63), (9.14), (8.67), 6.39 , 4.77 , 12.74 , 34.24 , 3.61 , 46.74 , 14.71 , 40.95 , 14.49 
Other Income, 21.27 , 33.17 , 15.47 , 26.49 , 18.17 , 17.89 , 10.21 , 24.10 , 11.75 , 13.88 , 24.83 , -   , -   
Depreciation, 23.52 , 10.33 , 10.71 , 7.11 , 7.86 , 5.45 , 7.61 , 8.72 , 12.27 , 13.90 , 13.09 , 13.09 , 13.09 
Interest, -   , -   , -   , -   , 0.09 , 1.19 , 0.28 , -   , 0.84 , -   , -   , -   , -   
Profit before tax, 37.47 , 22.21 , (4.38), 10.71 , 16.62 , 16.02 , 15.06 , 49.61 , 2.26 , 46.72 , 26.45 , 27.86 , 1.40 
Tax, 11.15 , 7.02 , (0.97), (0.90), 3.28 , 5.99 , 2.79 , 12.53 , (27.12), 30.41 , 6.33 ,24%,24%
Net profit, 26.32 , 15.19 , (3.41), 11.61 , 13.33 , 10.02 , 12.27 , 37.08 , 29.38 , 16.30 , 20.12 , 21.19 , 1.07 
EPS, 4.04 , 2.33 , (0.52), 1.78 , 2.04 , 1.54 , 1.88 , 4.88 , 3.87 , 1.61 , 1.99 , 2.10 , 0.11 
Price to earning, 10.11 , 25.14 , (71.78), 24.80 , 21.46 , 31.71 , 37.22 , 23.03 , 26.49 , 83.01 , 38.23 , 42.69 , 32.12 
Price, 40.79 , 58.55 , 37.54 , 44.16 , 43.87 , 48.72 , 70.03 , 112.49 , 102.49 , 133.79 , 76.05 , 89.45 , 3.39 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,7.45%,12.90%,0.00%,11.20%,19.58%,52.10%,31.87%,24.57%,10.35%,24.85%,,,
OPM,13.47%,0.00%,0.00%,0.00%,4.54%,3.63%,6.08%,13.33%,0.88%,11.22%,3.34%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.91%,15.65%,24.22%,25.71%,5.69%,25.71%,3.91%
,,,,,,OPM,6.47%,6.41%,7.17%,7.82%,3.34%,7.82%,3.34%
,,,,,,Price to Earning, 32.12 , 35.74 , 39.95 , 42.69 , 38.23 , 42.69 , 32.12 
