CASTROL INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Equity Share Capital, 123.64 , 247.28 , 247.28 , 494.56 , 494.56 , 247.28 , 247.28 , 247.28 , 494.56 , 494.56 
Reserves, 371.36 , 306.22 , 356.92 , 154.67 , 256.86 , 249.50 , 328.33 , 734.26 , 525.59 , 671.10 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 688.34 , 791.30 , 793.24 , 830.83 , 864.93 , 995.37 ," 1,086.01 ", 906.79 , 956.80 , 941.11 
Total," 1,183.34 "," 1,344.80 "," 1,397.44 "," 1,480.06 "," 1,616.35 "," 1,492.15 "," 1,661.62 "," 1,888.33 "," 1,976.95 "," 2,106.77 "
,,,,,,,,,,
Net Block, 111.33 , 120.32 , 112.52 , 126.12 , 143.46 , 172.07 , 148.84 , 146.97 , 138.97 , 186.04 
Capital Work in Progress, 26.13 , 16.57 , 29.30 , 30.96 , 31.87 , 15.67 , 36.41 , 37.26 , 57.27 , 35.04 
Investments, 0.52 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets," 1,045.36 "," 1,207.91 "," 1,255.62 "," 1,322.98 "," 1,441.02 "," 1,304.41 "," 1,476.37 "," 1,704.10 "," 1,780.71 "," 1,885.69 "
Total," 1,183.34 "," 1,344.80 "," 1,397.44 "," 1,480.06 "," 1,616.35 "," 1,492.15 "," 1,661.62 "," 1,888.33 "," 1,976.95 "," 2,106.77 "
,,,,,,,,,,
Working Capital, 357.02 , 416.61 , 462.38 , 492.15 , 576.09 , 309.04 , 390.36 , 797.31 , 823.91 , 944.58 
Debtors, 160.60 , 178.43 , 218.95 , 216.62 , 237.24 , 271.50 , 236.46 , 255.22 , 284.97 , 391.80 
Inventory, 208.63 , 244.20 , 300.92 , 315.76 , 374.01 , 365.47 , 304.58 , 343.88 , 319.57 , 456.79 
,,,,,,,,,,
Debtor Days, 25.29 , 23.81 , 26.70 , 25.33 , 27.23 , 29.21 , 26.17 , 27.64 , 29.02 , 36.63 
Inventory Turnover, 11.11 , 11.20 , 9.95 , 9.88 , 8.50 , 9.28 , 10.83 , 9.80 , 11.22 , 8.55 
,,,,,,,,,,
Return on Equity,77%,89%,80%,69%,68%,96%,107%,68%,68%,61%
Return on Capital Emp,,141%,124%,107%,109%,117%,178%,134%,107%,101%
,,,,,,,,,,
