JINDAL STAINLESS (HISAR) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.01 , -   , 46.24 , 47.19 , 47.19 
Reserves, -   , -   , -   , -   , -   , -   , 551.12 , 600.05 , 814.87 ," 1,208.82 "
Borrowings, -   , -   , -   , -   , -   , -   , 855.57 ," 1,855.14 "," 3,389.73 "," 2,798.84 "
Other Liabilities, -   , -   , -   , -   , -   , -   ," 4,371.52 "," 2,732.26 "," 2,138.56 "," 2,162.19 "
Total, -   , -   , -   , -   , -   , 0.01 ," 5,778.21 "," 5,233.69 "," 6,390.35 "," 6,217.04 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   ," 2,584.03 "," 2,341.78 "," 2,233.77 "," 2,101.98 "
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 28.97 , 52.93 , 40.54 , 63.08 
Investments, -   , -   , -   , -   , -   , -   , 416.77 , 416.77 , 416.77 , 416.77 
Other Assets, -   , -   , -   , -   , -   , 0.01 ," 2,748.44 "," 2,422.21 "," 3,699.27 "," 3,635.21 "
Total, -   , -   , -   , -   , -   , 0.01 ," 5,778.21 "," 5,233.69 "," 6,390.35 "," 6,217.04 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 0.01 ," (1,623.08)", (310.05)," 1,560.71 "," 1,473.02 "
Debtors, -   , -   , -   , -   , -   , -   , 923.41 , 774.51 ," 1,088.54 ", 863.49 
Inventory, -   , -   , -   , -   , -   , -   ," 1,296.21 "," 1,083.35 "," 1,539.87 "," 1,469.72 "
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 45.76 , 44.38 , 57.67 , 34.04 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 5.68 , 5.88 , 4.47 , 6.30 
,,,,,,,,,,
Return on Equity,,,,,,0%,2%,4%,25%,32%
Return on Capital Emp,,,,,,0%,65%,26%,22%,24%
,,,,,,,,,,
