INEOS STYROLUTION INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 17.59 , 17.59 , 17.59 , 17.59 , 17.59 , 17.59 , 17.59 , 17.59 , 17.59 , 17.59 
Reserves, 213.06 , 254.84 , 316.67 , 362.49 , 417.44 , 459.66 , 486.22 , 509.09 , 569.46 , 626.93 
Borrowings, -   , -   , -   , 130.59 , 67.24 , 89.29 , 109.58 , 169.81 , 208.87 , 103.93 
Other Liabilities, 155.16 , 154.85 , 191.35 , 88.65 , 140.68 , 296.14 , 221.78 , 247.00 , 265.94 , 318.19 
Total, 385.81 , 427.28 , 525.61 , 599.32 , 642.95 , 862.68 , 835.17 , 943.49 ," 1,061.86 "," 1,066.64 "
,,,,,,,,,,
Net Block, 153.02 , 141.98 , 136.19 , 129.22 , 123.79 , 136.29 , 216.55 , 241.21 , 219.04 , 213.73 
Capital Work in Progress, 8.18 , 11.21 , 11.80 , 10.60 , 29.26 , 56.37 , 0.20 , 2.13 , 17.69 , 15.29 
Investments, 44.91 , 71.28 , 92.65 , 101.37 , 17.10 , 33.25 , 101.04 , 0.52 , 0.85 , 0.80 
Other Assets, 179.70 , 202.81 , 284.97 , 358.13 , 472.80 , 636.77 , 517.38 , 699.63 , 824.28 , 836.82 
Total, 385.81 , 427.28 , 525.61 , 599.32 , 642.95 , 862.68 , 835.17 , 943.49 ," 1,061.86 "," 1,066.64 "
,,,,,,,,,,
Working Capital, 24.54 , 47.96 , 93.62 , 269.48 , 332.12 , 340.63 , 295.60 , 452.63 , 558.34 , 518.63 
Debtors, 73.63 , 85.43 , 109.40 , 123.89 , 174.90 , 220.89 , 202.28 , 224.01 , 222.46 , 244.92 
Inventory, 55.65 , 57.49 , 71.05 , 94.69 , 95.19 , 173.03 , 162.41 , 192.28 , 319.53 , 299.89 
,,,,,,,,,,
Debtor Days, 45.34 , 58.04 , 54.87 , 55.34 , 65.77 , 73.80 , 51.56 , 51.62 , 54.78 , 47.17 
Inventory Turnover, 10.65 , 9.35 , 10.24 , 8.63 , 10.20 , 6.31 , 8.82 , 8.24 , 4.64 , 6.32 
,,,,,,,,,,
Return on Equity,8%,18%,21%,14%,15%,11%,7%,12%,12%,10%
Return on Capital Emp,,30%,34%,19%,19%,15%,11%,11%,15%,15%
,,,,,,,,,,
