ESAB INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 416.60 , 410.16 , 493.81 , 541.04 , 503.52 , 434.47 , 551.85 , 450.95 , 466.39 , 532.69 , 671.63 , 671.63 , 524.83 
Expenses, 325.98 , 309.38 , 408.33 , 460.92 , 441.93 , 383.32 , 506.95 , 405.88 , 425.75 , 479.78 , 592.83 , 592.83 , 474.65 
Operating Profit, 90.62 , 100.78 , 85.48 , 80.12 , 61.59 , 51.15 , 44.90 , 45.07 , 40.64 , 52.91 , 78.80 , 78.80 , 50.17 
Other Income, 9.49 , 8.69 , 14.11 , 3.24 , 5.12 , 8.14 , (0.04), 5.89 , 7.66 , 10.04 , 16.04 , -   , -   
Depreciation, 6.67 , 7.75 , 10.55 , 11.75 , 11.82 , 11.23 , 13.75 , 9.52 , 10.27 , 10.09 , 10.70 , 10.70 , 10.70 
Interest, 0.92 , 0.83 , 0.82 , 0.99 , 0.73 , 0.58 , 0.50 , 0.34 , 0.36 , 0.22 , -   , -   , -   
Profit before tax, 92.52 , 100.89 , 88.22 , 70.62 , 54.16 , 47.48 , 30.61 , 41.10 , 37.67 , 52.64 , 84.14 , 68.10 , 39.47 
Tax, 31.34 , 34.71 , 29.26 , 23.18 , 16.39 , 14.36 , 6.97 , 12.76 , 10.81 , 15.49 , 26.55 ,32%,32%
Net profit, 61.18 , 66.18 , 58.96 , 47.44 , 37.77 , 33.12 , 23.64 , 28.34 , 26.86 , 37.15 , 57.59 , 46.61 , 27.02 
EPS, 39.75 , 42.99 , 38.30 , 30.82 , 24.54 , 21.52 , 15.36 , 18.41 , 17.45 , 24.13 , 37.42 , 30.29 , 17.55 
Price to earning, 6.36 , 12.82 , 14.22 , 16.06 , 17.75 , 20.73 , 43.73 , 31.44 , 35.86 , 29.48 , 33.85 , 33.85 , 23.84 
Price, 252.67 , 551.16 , 544.61 , 494.84 , 435.42 , 446.04 , 671.75 , 578.88 , 625.73 , 711.55 ," 1,266.70 "," 1,025.22 ", 418.59 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,38.98%,46.51%,52.20%,48.67%,30.55%,4.65%,6.51%,5.43%,5.73%,4.15%,,,
OPM,21.75%,24.57%,17.31%,14.81%,12.23%,11.77%,8.14%,9.99%,8.71%,9.93%,11.73%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.77%,1.09%,1.13%,-1.17%,26.08%,26.08%,-1.17%
,,,,,,OPM,13.61%,10.81%,9.63%,9.56%,11.73%,11.73%,9.56%
,,,,,,Price to Earning, 23.84 , 28.61 , 32.52 , 32.66 , 33.85 , 33.85 , 23.84 
