APTECH LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 46.50 , 46.55 , 48.77 , 48.79 , 48.79 , 39.89 , 39.89 , 39.89 , 39.89 , 39.89 
Reserves, 112.69 , 177.97 , 216.48 , 216.17 , 218.71 , 170.92 , 170.47 , 176.06 , 180.27 , 186.01 
Borrowings, 18.94 , 23.80 , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 27.19 , 26.78 , 37.91 , 32.69 , 38.44 , 30.05 , 27.70 , 20.58 , 32.98 , 48.43 
Total, 205.32 , 275.10 , 303.16 , 297.65 , 305.94 , 240.86 , 238.06 , 236.53 , 253.14 , 274.33 
,,,,,,,,,,
Net Block, 38.50 , 36.35 , 30.84 , 26.80 , 22.75 , 24.09 , 24.60 , 23.54 , 26.65 , 21.73 
Capital Work in Progress, 0.28 , 0.18 , 0.61 , 1.70 , 2.11 , 0.90 , 0.65 , 0.36 , 0.34 , 1.11 
Investments, 26.32 , 117.49 , 152.01 , 92.70 , 88.80 , 87.81 , 86.19 , 86.58 , 102.58 , 113.93 
Other Assets, 140.22 , 121.08 , 119.70 , 176.45 , 192.28 , 128.06 , 126.62 , 126.05 , 123.57 , 137.56 
Total, 205.32 , 275.10 , 303.16 , 297.65 , 305.94 , 240.86 , 238.06 , 236.53 , 253.14 , 274.33 
,,,,,,,,,,
Working Capital, 113.03 , 94.30 , 81.79 , 143.76 , 153.84 , 98.01 , 98.92 , 105.47 , 90.59 , 89.13 
Debtors, 35.41 , 23.90 , 15.55 , 20.12 , 23.31 , 26.62 , 27.98 , 32.53 , 36.32 , 49.72 
Inventory, 1.84 , 1.56 , 1.38 , 1.67 , 1.49 , 2.05 , 1.05 , 0.85 , 0.68 , 0.43 
,,,,,,,,,,
Debtor Days, 114.39 , 70.48 , 60.28 , 80.75 , 83.42 , 92.95 , 101.70 , 130.69 , 107.58 , 114.04 
Inventory Turnover, 61.41 , 79.35 , 68.22 , 54.46 , 68.45 , 50.99 , 95.64 , 106.88 , 181.22 , 370.09 
,,,,,,,,,,
Return on Equity,3%,38%,3%,7%,9%,11%,8%,5%,4%,8%
Return on Capital Emp,,58%,4%,7%,12%,12%,10%,6%,6%,10%
,,,,,,,,,,
