DIXON TECHNOLOGIES (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 567.66 , 724.87 ," 1,061.70 "," 1,115.16 "," 1,252.08 "," 1,644.87 "," 2,210.21 "," 2,525.77 "," 2,969.86 "," 2,841.10 "
Expenses, -   , -   , -   , 563.96 , 709.62 ," 1,043.35 "," 1,092.13 "," 1,211.80 "," 1,559.62 "," 2,103.56 "," 2,400.75 "," 2,822.86 "," 2,744.21 "
Operating Profit, -   , -   , -   , 3.70 , 15.25 , 18.35 , 23.03 , 40.28 , 85.25 , 106.65 , 125.02 , 147.00 , 96.90 
Other Income, -   , -   , -   , 1.54 , 0.46 , 8.34 , 1.45 , 14.87 , 0.40 , 3.21 , 4.18 , -   , -   
Depreciation, -   , -   , -   , 4.17 , 3.89 , 4.43 , 5.40 , 6.48 , 10.03 , 14.35 , 20.79 , 20.79 , 20.79 
Interest, -   , -   , -   , 8.52 , 8.39 , 8.27 , 6.09 , 7.19 , 15.01 , 13.18 , 24.30 , 24.30 , 24.30 
Profit before tax, -   , -   , -   , (7.45), 3.44 , 13.99 , 13.00 , 41.49 , 60.60 , 82.32 , 84.11 , 101.91 , 51.81 
Tax, -   , -   , -   , (1.49), 1.50 , 3.02 , 3.18 , 5.09 , 16.87 , 25.32 , 27.74 ,33%,33%
Net profit, -   , -   , -   , (5.97), 1.93 , 10.97 , 9.81 , 36.40 , 43.73 , 57.01 , 56.37 , 68.30 , 34.72 
EPS, -   , -   , -   , (19.24), 6.22 , 35.35 , 31.61 , 117.30 , 39.81 , 50.34 , 49.77 , 60.31 , 30.66 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 69.28 , 48.58 , 58.93 , 48.58 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,487.42 "," 2,418.15 "," 3,554.00 "," 1,489.48 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,16.06%,2.83%,3.16%,10.66%,15.07%,3.98%,,,
OPM,0.00%,0.00%,0.00%,0.65%,2.10%,1.73%,2.07%,3.22%,5.18%,4.83%,4.95%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,24.98%,25.61%,34.37%,34.37%,24.98%
,,,,,,OPM,3.41%,3.41%,3.76%,4.55%,4.95%,4.95%,3.41%
,,,,,,Price to Earning, 58.93 , 58.93 , 58.93 , 58.93 , 48.58 , 58.93 , 48.58 
