3M INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 11.27 , 11.27 , 11.27 , 11.27 , 11.27 , 11.27 , 11.27 , 11.27 , 11.27 , 11.27 
Reserves, 336.49 , 429.33 , 528.13 , 592.90 , 645.17 , 688.16 , 796.45 , 976.81 ," 1,215.13 "," 1,525.40 "
Borrowings, -   , -   , 12.14 , 75.93 , 173.72 , 120.94 , 14.31 , 11.16 , 9.78 , 9.46 
Other Liabilities, 132.27 , 173.83 , 206.40 , 252.41 , 243.57 , 286.31 , 323.17 , 429.56 , 717.41 , 610.09 
Total, 480.03 , 614.43 , 757.94 , 932.51 ," 1,073.73 "," 1,106.68 "," 1,145.20 "," 1,428.80 "," 1,953.59 "," 2,156.22 "
,,,,,,,,,,
Net Block, 116.00 , 141.30 , 165.32 , 289.87 , 299.55 , 418.28 , 387.75 , 349.22 , 315.16 , 285.22 
Capital Work in Progress, 27.32 , 39.72 , 94.20 , 20.80 , 120.85 , 7.02 , 1.30 , 1.21 , 2.43 , 5.75 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 336.71 , 433.41 , 498.42 , 621.84 , 653.33 , 681.38 , 756.15 ," 1,078.37 "," 1,636.00 "," 1,865.25 "
Total, 480.03 , 614.43 , 757.94 , 932.51 ," 1,073.73 "," 1,106.68 "," 1,145.20 "," 1,428.80 "," 1,953.59 "," 2,156.22 "
,,,,,,,,,,
Working Capital, 204.44 , 259.58 , 292.02 , 369.43 , 409.76 , 395.07 , 432.98 , 648.81 , 918.59 ," 1,255.16 "
Debtors, 108.60 , 144.55 , 196.75 , 233.11 , 266.37 , 265.18 , 249.12 , 317.15 , 407.92 , 529.64 
Inventory, 105.97 , 123.11 , 158.93 , 213.72 , 225.21 , 258.24 , 295.57 , 292.38 , 331.78 , 347.29 
,,,,,,,,,,
Debtor Days, 53.39 , 48.54 , 60.28 , 60.55 , 61.76 , 55.55 , 49.41 , 54.10 , 63.01 , 75.63 
Inventory Turnover, 7.01 , 8.83 , 7.50 , 6.57 , 6.99 , 6.75 , 6.23 , 7.32 , 7.12 , 7.36 
,,,,,,,,,,
Return on Equity,17%,21%,18%,11%,8%,6%,13%,20%,20%,20%
Return on Capital Emp,,36%,30%,16%,11%,10%,21%,34%,33%,35%
,,,,,,,,,,
