CARBORUNDUM UNIVERSAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 647.96 , 726.07 , 919.72 ," 1,119.21 "," 1,096.16 "," 1,141.68 "," 1,161.36 "," 1,291.82 "," 1,405.69 "," 1,576.23 "," 1,782.22 "," 1,782.22 "," 1,710.52 "
Expenses, 556.39 , 606.34 , 738.51 , 899.33 , 942.82 , 996.56 ," 1,012.31 "," 1,092.43 "," 1,193.31 "," 1,326.41 "," 1,484.89 "," 1,484.89 "," 1,461.94 "
Operating Profit, 91.57 , 119.73 , 181.21 , 219.88 , 153.34 , 145.12 , 149.05 , 199.39 , 212.38 , 249.82 , 297.33 , 297.33 , 248.58 
Other Income, 51.47 , 23.65 , 43.46 , 30.48 , 17.81 , 19.37 , 117.88 , 39.07 , 34.02 , 30.72 , 26.92 , -   , -   
Depreciation, 29.78 , 35.34 , 39.99 , 43.55 , 46.74 , 49.14 , 58.83 , 62.07 , 66.94 , 73.89 , 75.40 , 75.40 , 75.40 
Interest, 27.18 , 23.87 , 20.34 , 17.42 , 16.38 , 12.94 , 8.70 , 8.90 , 8.76 , 1.47 , 0.94 , 0.94 , 0.94 
Profit before tax, 86.08 , 84.17 , 164.34 , 189.39 , 108.04 , 102.41 , 199.40 , 167.49 , 170.70 , 205.19 , 247.91 , 220.99 , 172.24 
Tax, 26.36 , 26.16 , 40.08 , 42.72 , 33.50 , 29.63 , 51.07 , 51.05 , 48.93 , 61.71 , 81.82 ,33%,33%
Net profit, 59.72 , 58.01 , 124.26 , 146.67 , 74.53 , 72.78 , 148.33 , 116.44 , 121.78 , 143.48 , 166.09 , 148.05 , 115.39 
EPS, 3.20 , 3.11 , 6.65 , 7.83 , 3.98 , 3.88 , 7.88 , 6.18 , 6.46 , 7.59 , 8.78 , 7.83 , 6.10 
Price to earning, 14.37 , 29.60 , 18.25 , 20.70 , 30.60 , 37.05 , 23.23 , 29.65 , 45.70 , 47.88 , 42.78 , 42.78 , 30.89 
Price, 45.97 , 91.97 , 121.34 , 162.04 , 121.67 , 143.62 , 183.10 , 183.30 , 295.01 , 363.55 , 375.60 , 334.81 , 188.46 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,31.26%,32.18%,18.80%,25.55%,31.45%,32.26%,15.86%,24.27%,27.11%,29.63%,,,
OPM,14.13%,16.49%,19.70%,19.65%,13.99%,12.71%,12.83%,15.43%,15.11%,15.85%,16.68%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.38%,8.00%,7.53%,10.72%,13.07%,13.07%,7.53%
,,,,,,OPM,15.53%,15.12%,14.53%,15.48%,16.68%,16.68%,14.53%
,,,,,,Price to Earning, 30.89 , 34.70 , 37.72 , 41.50 , 42.78 , 42.78 , 30.89 
