ITD CEMENTATION INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17
Equity Share Capital, 11.52 , 11.52 , 11.52 , 11.52 , 11.52 , 11.52 , 15.52 , 15.52 , 15.52 , 15.52 
Reserves, 338.32 , 342.37 , 349.75 , 369.66 , 388.96 , 396.90 , 552.31 , 492.70 , 536.51 , 601.77 
Borrowings, 414.65 , 496.64 , 524.67 , 632.59 , 687.00 , 695.00 , 670.78 , 488.36 , 356.21 , 488.60 
Other Liabilities, 358.87 , 291.11 , 335.57 , 509.93 , 525.46 , 514.34 , 713.42 ," 1,216.10 ", 978.12 ," 1,150.83 "
Total," 1,123.36 "," 1,141.64 "," 1,221.51 "," 1,523.70 "," 1,612.94 "," 1,617.76 "," 1,952.03 "," 2,212.68 "," 1,886.36 "," 2,256.72 "
,,,,,,,,,,
Net Block, 122.83 , 158.60 , 157.62 , 197.98 , 193.11 , 191.70 , 282.80 , 293.13 , 381.82 , 406.40 
Capital Work in Progress, 39.82 , 1.59 , 11.93 , 3.08 , 13.60 , 6.73 , 1.78 , 1.97 , 5.60 , 16.73 
Investments, 12.78 , 23.06 , 37.31 , 40.83 , 47.32 , 59.97 , 59.14 , 66.08 , 0.63 , 0.62 
Other Assets, 947.93 , 958.39 ," 1,014.65 "," 1,281.81 "," 1,358.91 "," 1,359.36 "," 1,608.31 "," 1,851.50 "," 1,498.31 "," 1,832.97 "
Total," 1,123.36 "," 1,141.64 "," 1,221.51 "," 1,523.70 "," 1,612.94 "," 1,617.76 "," 1,952.03 "," 2,212.68 "," 1,886.36 "," 2,256.72 "
,,,,,,,,,,
Working Capital, 589.06 , 667.28 , 679.08 , 771.88 , 833.45 , 845.02 , 894.89 , 635.40 , 520.19 , 682.14 
Debtors, 388.81 , 413.14 , 491.13 , 317.46 , 314.65 , 334.77 , 334.58 , 261.16 , 205.35 , 223.88 
Inventory, 370.34 , 352.33 , 357.01 , 679.72 , 791.08 , 771.72 , 959.44 , 997.30 , 109.91 , 119.60 
,,,,,,,,,,
Debtor Days, 151.37 , 159.80 , 174.91 , 92.17 , 91.59 , 101.28 , 92.99 , 37.01 , 25.69 , 43.63 
Inventory Turnover, 2.53 , 2.68 , 2.87 , 1.85 , 1.59 , 1.56 , 1.37 , 2.58 , 26.54 , 15.66 
,,,,,,,,,,
Return on Equity,2%,2%,3%,6%,5%,2%,3%,-12%,9%,12%
Return on Capital Emp,,10%,10%,12%,13%,11%,13%,2%,20%,21%
,,,,,,,,,,
