CIMMCO LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Jun-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 9.02 , 26.61 , 115.76 , 230.17 , 99.88 , 128.43 , 32.11 , 67.47 , 123.52 , 133.93 , 201.67 , 215.59 , 138.17 
Expenses, 15.81 , 23.60 , 104.41 , 189.13 , 102.89 , 115.57 , 39.07 , 73.59 , 125.45 , 132.99 , 204.64 , 214.96 , 138.17 
Operating Profit, (6.79), 3.01 , 11.35 , 41.04 , (3.01), 12.86 , (6.96), (6.12), (1.93), 0.94 , (2.97), 0.62 , -   
Other Income, 0.15 , 554.58 , (3.63), (21.47), 3.45 , (11.92), (7.84), 4.84 , (0.25), (4.14), (3.73), -   , -   
Depreciation, 1.67 , 2.08 , 1.40 , 1.64 , 1.62 , 1.26 , 2.86 , 3.99 , 6.47 , 6.16 , 4.59 , 4.59 , 4.59 
Interest, 98.04 , 0.04 , 2.65 , 9.90 , 8.43 , 7.69 , 7.77 , 9.47 , 11.79 , 14.35 , 18.48 , 18.48 , 18.48 
Profit before tax, (106.35), 555.47 , 3.67 , 8.03 , (9.60), (7.99), (25.44), (14.74), (20.45), (23.70), (29.77), (22.45), (23.07)
Tax, 0.03 , (1.36), (7.27), 3.84 , 0.41 , 4.39 , 0.34 , (1.10), (1.29), (0.38), (1.12),0%,0%
Net profit, (106.38), 556.83 , 10.94 , 4.19 , (10.00), (12.39), (25.78), (13.64), (19.17), (23.32), (28.65), (22.45), (23.07)
EPS, (74.87), 276.36 , 5.43 , 2.08 , (4.96), (6.15), (12.79), (6.77), (9.51), (8.53), (10.48), (8.21), (8.44)
Price to earning,  ,  , 19.10 , 28.23 , (4.34), (2.87), (7.85), (10.71), (9.33), (10.25), -   , -   , -   
Price, -   , -   , 103.73 , 58.71 , 21.56 , 17.65 , 100.46 , 72.50 , 88.75 , 87.41 , 34.65 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,11.31%,9.80%,17.83%,0.00%,10.01%,0.00%,0.00%,0.00%,0.70%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,34.95%,2.10%,6.04%,60.97%,50.58%,60.97%,2.10%
,,,,,,OPM,7.16%,6.72%,2.84%,0.29%,0.00%,0.29%,0.00%
,,,,,,Price to Earning, 23.67 , 28.23 ,  ,  , -   , -   , -   
