ESSAR SHIPPING LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 514.66 ," 1,245.35 "," 1,488.32 ", 873.67 , 791.14 , 728.70 , 657.74 , 643.41 , 541.32 , 629.39 , 559.82 
Expenses, -   , -   , 287.26 , 804.13 ," 1,149.82 ", 728.76 , 647.12 , 494.69 , 436.52 , 633.67 , 659.45 , 485.22 , 559.82 
Operating Profit, -   , -   , 227.40 , 441.22 , 338.50 , 144.91 , 144.02 , 234.01 , 221.22 , 9.74 , (118.13), 144.17 , -   
Other Income, -   , -   , 32.29 , 59.51 , 17.72 , 143.35 , 207.76 , 68.02 , 130.58 , 429.95 , 438.66 , -   , -   
Depreciation, -   , -   , 56.91 , 136.36 , 139.01 , 185.56 , 143.96 , 153.69 , 137.14 , 125.04 , 108.21 , 108.21 , 108.21 
Interest, -   , -   , 123.11 , 266.90 , 307.26 , 322.93 , 286.32 , 342.65 , 352.63 , 265.24 , 215.37 , 215.37 , 215.37 
Profit before tax, -   , -   , 79.67 , 97.47 , (90.05), (220.23), (78.50), (194.31), (137.97), 49.41 , (3.05), (179.41), (323.58)
Tax, -   , -   , 1.50 , 1.65 , 3.20 , 8.92 , 4.50 , 3.39 , 2.65 , 3.24 , 2.64 ,0%,0%
Net profit, -   , -   , 78.17 , 95.82 , (93.25), (229.15), (83.00), (197.70), (140.62), 46.17 , (5.69), (179.41), (323.58)
EPS, -   , -   , 3.81 , 4.67 , (4.54), (11.17), (4.04), (9.55), (6.79), 2.23 , (0.27), (8.67), (15.63)
Price to earning,  ,  ,  , 6.11 , (4.43), (1.48), (5.32), (2.63), (4.48), 10.42 , -   , 10.42 , -   
Price, -   , -   , -   , 28.52 , 20.15 , 16.54 , 21.51 , 25.11 , 30.44 , 23.25 , 10.55 , (90.34), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,44.18%,35.43%,22.74%,16.59%,18.20%,32.11%,33.63%,1.51%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,3.24%,-15.44%,-6.66%,-2.18%,-2.18%,-15.44%
,,,,,,OPM,25.36%,23.86%,20.41%,22.91%,0.00%,22.91%,0.00%
,,,,,,Price to Earning, 8.26 , 8.26 , 10.42 , 10.42 , -   , 10.42 , -   
