ADF FOODS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 90.83 , 95.34 , 111.36 , 112.48 , 129.69 , 141.81 , 149.45 , 160.52 , 165.36 , 171.57 , 193.26 , 193.26 , 180.67 
Expenses, 77.78 , 81.60 , 88.38 , 91.99 , 114.79 , 119.35 , 129.06 , 132.91 , 143.56 , 145.85 , 155.44 , 155.44 , 153.79 
Operating Profit, 13.05 , 13.74 , 22.98 , 20.49 , 14.90 , 22.46 , 20.39 , 27.61 , 21.80 , 25.72 , 37.82 , 37.82 , 26.88 
Other Income, 6.21 , 11.83 , 3.13 , 2.63 , 10.60 , 3.99 , 8.64 , 3.63 , 5.60 , 10.57 , 11.36 , -   , -   
Depreciation, 3.94 , 4.19 , 4.50 , 4.67 , 4.15 , 7.33 , 7.32 , 7.89 , 4.35 , 4.36 , 4.30 , 4.30 , 4.30 
Interest, 2.20 , 1.81 , 1.63 , 1.24 , 1.63 , 1.14 , 0.95 , 1.14 , 0.95 , 1.13 , 0.87 , 0.87 , 0.87 
Profit before tax, 13.12 , 19.58 , 19.98 , 17.21 , 19.73 , 17.99 , 20.76 , 22.22 , 22.07 , 30.80 , 44.01 , 32.65 , 21.71 
Tax, 3.32 , 3.95 , 2.19 , 5.58 , 4.15 , 5.54 , 6.16 , 8.12 , 7.72 , 8.58 , 13.51 ,31%,31%
Net profit, 9.80 , 15.63 , 17.79 , 11.63 , 15.59 , 12.45 , 14.60 , 14.10 , 14.36 , 22.22 , 30.48 , 22.63 , 15.05 
EPS, 5.32 , 7.53 , 8.57 , 5.55 , 7.09 , 5.66 , 6.64 , 6.41 , 6.53 , 10.48 , 15.22 , 11.30 , 7.51 
Price to earning, 5.21 , 13.50 , 7.47 , 8.93 , 7.13 , 8.12 , 9.95 , 13.11 , 29.95 , 22.23 , 17.47 , 20.69 , 13.01 
Price, 27.68 , 101.65 , 64.02 , 49.58 , 50.55 , 45.96 , 66.02 , 84.01 , 195.51 , 232.97 , 266.00 , 233.83 , 97.73 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,27.65%,19.58%,17.20%,26.57%,21.55%,26.99%,23.01%,0.00%,37.53%,0.00%,,,
OPM,14.37%,14.41%,20.64%,18.22%,11.49%,15.84%,13.64%,17.20%,13.18%,14.99%,19.57%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.32%,6.37%,5.76%,4.71%,12.64%,12.64%,4.71%
,,,,,,OPM,15.29%,14.88%,14.96%,15.10%,19.57%,19.57%,14.88%
,,,,,,Price to Earning, 13.01 , 14.61 , 16.81 , 20.69 , 17.47 , 20.69 , 13.01 
