GREENLAM INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.05 , 12.07 , 12.07 , 12.07 , 12.07 
Reserves, -   , -   , -   , -   , -   , (0.01), 214.99 , 252.42 , 291.93 , 345.73 
Borrowings, -   , -   , -   , -   , -   , -   , 267.54 , 254.43 , 238.24 , 203.95 
Other Liabilities, -   , -   , -   , -   , -   , -   , 223.80 , 245.36 , 199.03 , 222.38 
Total, -   , -   , -   , -   , -   , 0.04 , 718.40 , 764.28 , 741.27 , 784.13 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 311.40 , 338.33 , 312.41 , 321.25 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 9.21 , 3.95 , 5.36 , 1.00 
Investments, -   , -   , -   , -   , -   , -   , 17.45 , 24.11 , 24.11 , 24.11 
Other Assets, -   , -   , -   , -   , -   , 0.04 , 380.34 , 397.89 , 399.39 , 437.77 
Total, -   , -   , -   , -   , -   , 0.04 , 718.40 , 764.28 , 741.27 , 784.13 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 0.04 , 156.54 , 152.53 , 200.36 , 215.39 
Debtors, -   , -   , -   , -   , -   , -   , 118.08 , 125.95 , 119.80 , 135.60 
Inventory, -   , -   , -   , -   , -   , -   , 188.10 , 207.38 , 205.58 , 241.00 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 51.03 , 49.08 , 45.06 , 46.66 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 4.49 , 4.52 , 4.72 , 4.40 
,,,,,,,,,,
Return on Equity,,,,,,-25%,12%,15%,14%,17%
Return on Capital Emp,,,,,,-50%,25%,18%,17%,19%
,,,,,,,,,,
