KSB LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Equity Share Capital, 17.40 , 17.40 , 34.81 , 34.81 , 34.81 , 34.81 , 34.81 , 34.81 , 34.81 , 34.81 
Reserves, 314.57 , 345.92 , 355.31 , 391.08 , 428.44 , 470.89 , 518.42 , 580.79 , 627.72 , 678.45 
Borrowings, 7.53 , 13.72 , 63.18 , 16.85 , 3.19 , 24.38 , 1.30 , 6.98 , 12.64 , 43.42 
Other Liabilities, 205.54 , 237.90 , 265.73 , 278.50 , 294.48 , 342.86 , 357.71 , 332.25 , 367.20 , 462.21 
Total, 545.04 , 614.94 , 719.03 , 721.24 , 760.92 , 872.94 , 912.24 , 954.83 ," 1,042.37 "," 1,218.89 "
,,,,,,,,,,
Net Block, 124.48 , 151.32 , 152.75 , 158.46 , 181.25 , 190.81 , 194.05 , 218.63 , 308.20 , 321.06 
Capital Work in Progress, 33.44 , 8.70 , 6.97 , 26.71 , 8.24 , 9.96 , 14.22 , 16.50 , 4.09 , 4.14 
Investments, 6.36 , 6.35 , 6.36 , 6.36 , 6.32 , 6.32 , 6.32 , 6.32 , 6.32 , 6.32 
Other Assets, 380.76 , 448.57 , 552.95 , 529.71 , 565.11 , 665.85 , 697.65 , 713.38 , 723.76 , 887.37 
Total, 545.04 , 614.94 , 719.03 , 721.24 , 760.92 , 872.94 , 912.24 , 954.83 ," 1,042.37 "," 1,218.89 "
,,,,,,,,,,
Working Capital, 175.22 , 210.67 , 287.22 , 251.21 , 270.63 , 322.99 , 339.94 , 381.13 , 356.56 , 425.16 
Debtors, 104.05 , 112.70 , 182.25 , 145.31 , 126.02 , 178.01 , 177.11 , 162.17 , 255.11 , 290.72 
Inventory, 116.34 , 158.50 , 198.02 , 193.54 , 183.30 , 201.77 , 182.64 , 211.86 , 247.64 , 303.02 
,,,,,,,,,,
Debtor Days, 68.30 , 68.66 , 89.78 , 74.48 , 63.03 , 81.23 , 79.12 , 71.77 , 98.44 , 97.08 
Inventory Turnover, 4.78 , 3.78 , 3.74 , 3.68 , 3.98 , 3.96 , 4.47 , 3.89 , 3.82 , 3.61 
,,,,,,,,,,
Return on Equity,20%,14%,11%,14%,13%,13%,13%,11%,10%,10%
Return on Capital Emp,,21%,16%,19%,20%,20%,20%,17%,17%,16%
,,,,,,,,,,
