AGRI-TECH (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 0.25 , 0.10 , 0.07 , 0.08 , 0.09 , 0.04 , 0.16 , 0.20 , 0.64 , 0.18 
Expenses, -   , -   , -   , 0.58 , 0.18 , 0.31 , 0.34 , 1.66 , 0.52 , 0.80 , 1.11 , 0.64 , 0.18 
Operating Profit, -   , -   , -   , (0.33), (0.08), (0.24), (0.26), (1.57), (0.48), (0.64), (0.91), -   , -   
Other Income, -   , -   , -   , 18.10 , -   , 0.67 , 0.01 , 20.49 , (12.47), 21.44 , 0.54 , -   , -   
Depreciation, -   , -   , -   , 0.19 , 0.21 , 0.19 , 0.11 , 0.19 , 0.19 , 0.19 , 0.14 , 0.14 , 0.14 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, -   , -   , -   , 17.56 , (0.30), 0.23 , (0.37), 18.74 , (13.14), 20.62 , (0.51), (0.14), (0.14)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.53 ,0%,0%
Net profit, -   , -   , -   , 17.57 , (0.30), 0.23 , (0.37), 18.75 , (13.14), 20.62 , (1.03), (0.14), (0.14)
EPS, -   , -   , -   , 29.58 , (0.51), 0.39 , (0.62), 31.57 , (22.12), 34.71 , (1.73), (0.24), (0.24)
Price to earning,  ,  ,  ,  ,  , 18.25 , (9.46), 0.24 , (2.36), 4.04 , -   , 2.14 , -   
Price, -   , -   , -   , -   , -   , 7.07 , 5.89 , 7.58 , 52.19 , 140.15 , 67.25 , (0.50), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,9.86%,25.99%,300.00%,300.00%,9.86%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 7.51 , 7.51 , 7.51 , 2.14 , -   , 2.14 , -   
