ESAB INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 59.14 , 72.04 , 59.56 , 40.13 , 46.12 , 35.05 , 16.42 , 18.19 , 36.50 , 29.73 
Cash from Investing Activity, (12.71), (11.19), (47.78), (4.91), (46.28), (26.92), (11.95), (9.27), (22.55), 8.72 
Cash from Financing Activity, (25.15), (39.74), (19.42), (44.55), (0.04), (13.65), (1.80), (1.86), (1.85), (40.53)
Net Cash Flow, 21.28 , 21.11 , (7.64), (9.33), (0.20), (5.52), 2.67 , 7.06 , 12.10 , (2.08)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
