FUTURE SUPPLY CHAIN SOLUTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 39.14 , 39.14 , 39.14 , 40.06 
Reserves, -   , -   , -   , -   , -   , -   , 178.64 , 208.10 , 253.67 , 376.94 
Borrowings, -   , -   , -   , -   , -   , -   , 63.05 , 80.38 , 80.71 , 32.96 
Other Liabilities, -   , -   , -   , -   , -   , -   , 107.69 , 157.93 , 137.28 , 232.73 
Total, -   , -   , -   , -   , -   , -   , 388.52 , 485.55 , 510.80 , 682.69 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 129.74 , 138.42 , 129.74 , 262.07 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 20.52 , 1.83 , 69.81 , 2.55 
Investments, -   , -   , -   , -   , -   , -   , 0.01 , 0.01 , 0.01 , 63.13 
Other Assets, -   , -   , -   , -   , -   , -   , 238.25 , 345.29 , 311.24 , 354.94 
Total, -   , -   , -   , -   , -   , -   , 388.52 , 485.55 , 510.80 , 682.69 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 130.56 , 187.36 , 173.96 , 122.21 
Debtors, -   , -   , -   , -   , -   , -   , 181.91 , 221.12 , 219.77 , 228.88 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 162.75 , 155.25 , 142.94 , 107.80 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,11%,12%,16%,16%
Return on Capital Emp,,,,,,,33%,19%,20%,26%
,,,,,,,,,,
