KALYANI INVESTMENT COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.05 , 4.37 , 4.37 , 4.37 , 4.37 , 4.37 , 4.37 , 4.37 , 4.37 
Reserves, -   , 271.45 , 273.11 , 280.22 , 274.85 , 291.51 , 308.46 , 334.90 , 347.37 , 362.27 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , 62.03 , 57.64 , 59.46 , 19.29 , 0.06 , 0.17 , 19.37 , 16.65 , 0.22 
Total, -   , 333.53 , 335.12 , 344.05 , 298.51 , 295.94 , 313.00 , 358.64 , 368.39 , 366.86 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 1.01 , 0.92 , 0.82 , 0.72 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , 333.34 , 334.76 , 343.86 , 298.28 , 295.50 , 311.60 , 357.27 , 367.29 , 364.20 
Other Assets, -   , 0.19 , 0.36 , 0.19 , 0.23 , 0.44 , 0.39 , 0.45 , 0.28 , 1.94 
Total, -   , 333.53 , 335.12 , 344.05 , 298.51 , 295.94 , 313.00 , 358.64 , 368.39 , 366.86 
,,,,,,,,,,
Working Capital, -   , (61.84), (57.28), (59.27), (19.06), 0.38 , 0.22 , (18.92), (16.37), 1.72 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,0%,2%,6%,-2%,6%,5%,8%,3%,4%
Return on Capital Emp,,0%,2%,6%,-2%,7%,6%,8%,3%,4%
,,,,,,,,,,
