GSS INFOTECH LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.74 , 14.14 , 14.14 , 14.14 , 14.14 , 14.14 , 16.94 , 16.94 , 16.94 , 16.94 
Reserves, 215.61 , 268.98 , 274.21 , 275.00 , 270.04 , 274.29 , 148.07 , 140.77 , 85.42 , 89.92 
Borrowings, -   , -   , -   , 14.26 , 14.31 , 12.20 , 9.35 , 6.35 , 2.90 , -   
Other Liabilities, 9.64 , 8.66 , 9.66 , 19.37 , 14.38 , 13.78 , 6.51 , 7.69 , 4.86 , 4.99 
Total, 237.99 , 291.78 , 298.01 , 322.77 , 312.87 , 314.41 , 180.87 , 171.75 , 110.12 , 111.85 
,,,,,,,,,,
Net Block, 1.77 , 26.63 , 25.84 , 5.05 , 3.84 , 2.76 , 1.50 , 0.56 , 0.19 , 0.11 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 46.71 , 61.23 , 80.94 , 221.55 , 222.29 , 222.30 , 87.37 , 87.37 , 54.07 , 73.64 
Other Assets, 189.51 , 203.92 , 191.23 , 96.17 , 86.74 , 89.35 , 92.00 , 83.82 , 55.86 , 38.10 
Total, 237.99 , 291.78 , 298.01 , 322.77 , 312.87 , 314.41 , 180.87 , 171.75 , 110.12 , 111.85 
,,,,,,,,,,
Working Capital, 179.87 , 195.26 , 181.57 , 76.80 , 72.36 , 75.57 , 85.49 , 76.13 , 51.00 , 33.11 
Debtors, 31.59 , 33.47 , 40.23 , 50.17 , 32.47 , 35.86 , 34.61 , 33.22 , 29.78 , 9.28 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 218.30 , 254.72 , 242.07 , 444.36 , 297.18 , 283.68 , 357.36 , 406.48 , 472.19 , 150.21 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,16%,5%,2%,-5%,-2%,1%,-82%,3%,-49%,4%
Return on Capital Emp,,6%,3%,-7%,-1%,1%,-53%,4%,-32%,3%
,,,,,,,,,,
