FUTURE ENTERPRISES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-08,Jun-09,Jun-10,Jun-11,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 5,048.91 "," 6,341.70 "," 5,934.37 "," 4,101.48 "," 6,987.73 "," 11,577.44 "," 10,341.66 "," 8,357.70 "," 3,784.14 "," 4,337.67 "," 4,565.64 "," 4,972.17 "," 3,189.65 "
Expenses," 4,833.95 "," 5,989.37 "," 5,737.53 "," 3,903.50 "," 6,690.24 "," 11,197.55 "," 9,877.99 "," 7,745.82 "," 2,830.83 "," 3,273.38 "," 3,243.40 "," 3,532.19 "," 2,963.71 "
Operating Profit, 214.96 , 352.33 , 196.84 , 197.98 , 297.49 , 379.89 , 463.67 , 611.88 , 953.31 ," 1,064.29 "," 1,322.24 "," 1,439.97 ", 225.94 
Other Income, 29.52 , 8.67 , 97.43 , 10.93 , 330.32 , 3.06 , 127.24 , 25.25 , 231.05 , 183.88 , 27.12 , -   , -   
Depreciation, 83.39 , 140.05 , 161.88 , 146.37 , 311.87 , 404.34 , 512.88 , 546.74 , 633.19 , 698.40 , 769.19 , 769.19 , 769.19 
Interest, 212.44 , 324.44 , 301.04 , 173.66 , 460.41 , 692.54 , 669.04 , 496.52 , 507.61 , 568.41 , 577.92 , 577.92 , 577.92 
Profit before tax, 195.62 , 216.23 , 213.64 , 115.29 , 288.32 , 1.27 , 61.36 , 26.79 , 43.56 , (18.64), 2.25 , 92.86 ," (1,121.17)"
Tax, 69.65 , 75.65 , 34.08 , 38.63 , 15.06 , (1.54), (12.70), 5.52 , -   , (6.45), (21.78),-968%,-968%
Net profit, 125.97 , 140.58 , 179.56 , 76.66 , 273.26 , 2.81 , 74.06 , 21.27 , 43.56 , (12.19), 24.03 , 991.78 ," (11,974.13)"
EPS, 7.91 , 7.39 , 8.71 , 3.53 , 11.80 , 0.12 , 1.79 , 0.50 , 0.92 , (0.25), 0.49 , 20.09 , (242.51)
Price to earning, 3.68 , 3.49 , 4.61 , 7.99 , 1.88 , 110.39 , 7.93 , 36.41 , 33.60 , (154.92), 69.35 , 69.35 , 27.93 
Price, 29.10 , 25.80 , 40.12 , 28.21 , 22.24 , 13.39 , 14.18 , 18.10 , 30.94 , 38.27 , 33.75 ," 1,392.95 "," (6,773.85)"
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,7.59%,8.12%,9.18%,25.49%,9.32%,494.66%,33.55%,20.12%,21.72%,0.00%,,,
OPM,4.26%,5.56%,3.32%,4.83%,4.26%,3.28%,4.48%,7.32%,25.19%,24.54%,28.96%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-1.67%,-4.38%,-9.10%,-25.14%,14.63%,14.63%,-25.14%
,,,,,,OPM,7.08%,8.02%,9.04%,15.96%,28.96%,28.96%,7.08%
,,,,,,Price to Earning, 27.93 , 38.22 , 51.53 , 46.45 , 69.35 , 69.35 , 27.93 
