FUTURE RETAIL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   ," 1,578.30 "," 2,343.12 "," 1,779.42 "," 6,845.13 "," 17,980.46 "," 20,106.14 "," 20,164.90 "," 45,117.54 "," 22,490.07 "
Expenses, -   , -   , -   , -   ," 2,064.94 "," 2,931.42 "," 2,258.84 "," 7,184.37 "," 17,399.17 "," 19,272.41 "," 19,127.98 "," 42,797.51 "," 21,861.54 "
Operating Profit, -   , -   , -   , -   , (486.64), (588.30), (479.42), (339.24), 581.29 , 833.73 ," 1,036.92 "," 2,320.04 ", 628.53 
Other Income, -   , -   , -   , -   , 3.34 , 405.06 , 53.58 , 18.22 , 23.80 , (593.61), 20.47 , -   , -   
Depreciation, -   , -   , -   , -   , 36.56 , 60.71 , 44.10 , 36.76 , 32.58 , 53.43 , 100.59 , 100.59 , 100.59 
Interest, -   , -   , -   , -   , 18.25 , 70.68 , 20.23 , 49.75 , 204.23 , 175.38 , 223.98 , 223.98 , 223.98 
Profit before tax, -   , -   , -   , -   , (538.10), (314.61), (379.21), 15.09 , 368.28 , 11.31 , 732.82 ," 1,995.47 ", 303.96 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, -   , -   , -   , -   , (538.10), (314.61), (379.21), 15.09 , 368.28 , 11.31 , 732.82 ," 1,995.47 ", 303.96 
EPS, -   , -   , -   , -   , (2.02), (0.45), (0.54), 3.47 , 7.80 , 0.23 , 14.58 , 39.70 , 6.05 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 37.25 ," 2,602.67 ", 30.86 , 890.26 , 30.86 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 290.73 , 586.29 , 449.95 ," 35,346.02 ", 186.63 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.23%,4.15%,5.14%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,66.35%,124.40%,11.82%,124.40%,11.82%
,,,,,,OPM,2.79%,2.79%,2.88%,3.15%,5.14%,5.14%,2.79%
,,,,,,Price to Earning, 890.26 , 890.26 , 890.26 , 890.26 , 30.86 , 890.26 , 30.86 
