BIL ENERGY SYSTEM LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.07 , 10.57 , 10.57 , 10.57 , 10.57 , 10.57 , 10.57 , 10.57 , 21.14 
Reserves, -   , (0.02), 44.54 , 37.04 , 31.13 , 13.07 , 13.84 , 13.04 , 13.03 , (8.89)
Borrowings, -   , -   , 51.91 , 55.87 , 70.62 , 80.34 , 79.89 , 79.79 , 79.69 , 79.79 
Other Liabilities, -   , -   , 14.65 , 44.40 , 32.30 , 18.50 , 16.17 , 21.22 , 25.13 , 12.76 
Total, -   , 0.05 , 121.67 , 147.88 , 144.62 , 122.48 , 120.47 , 124.62 , 128.42 , 104.80 
,,,,,,,,,,
Net Block, -   , -   , 61.67 , 60.42 , 58.10 , 55.26 , 46.05 , 41.90 , 37.68 , 33.02 
Capital Work in Progress, -   , -   , 0.30 , 3.47 , 3.31 , 3.15 , 3.15 , 3.15 , 3.15 , 3.15 
Investments, -   , -   , -   , -   , -   , 0.73 , 0.12 , 1.63 , 1.62 , 1.62 
Other Assets, -   , 0.05 , 59.70 , 83.99 , 83.21 , 63.34 , 71.15 , 77.94 , 85.97 , 67.01 
Total, -   , 0.05 , 121.67 , 147.88 , 144.62 , 122.48 , 120.47 , 124.62 , 128.42 , 104.80 
,,,,,,,,,,
Working Capital, -   , 0.05 , 45.05 , 39.59 , 50.91 , 44.84 , 54.98 , 56.72 , 60.84 , 54.25 
Debtors, -   , -   , 29.28 , 40.39 , 50.26 , 37.06 , 31.05 , 38.60 , 49.22 , 24.43 
Inventory, -   , -   , 21.55 , 25.86 , 18.10 , 10.10 , 0.70 , 0.78 , 2.93 , 2.36 
,,,,,,,,,,
Debtor Days, -   , -   , 152.17 , 145.45 , 189.04 , 230.80 , 270.16 , 511.95 , 566.19 , 484.09 
Inventory Turnover, -   , -   , 3.26 , 3.92 , 5.36 , 5.80 , 59.93 , 35.28 , 10.83 , 7.81 
,,,,,,,,,,
Return on Equity,,-40%,2%,-16%,-14%,-76%,4%,-3%,0%,-93%
Return on Capital Emp,,-80%,11%,1%,-1%,-6%,2%,0%,1%,-11%
,,,,,,,,,,
