ALMONDZ GLOBAL SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 56.11 , (37.68), 52.50 , (10.67), (10.82), (11.52), 5.81 , 16.09 , (2.45), 13.61 
Cash from Investing Activity, (3.12), (3.16), (51.07), 10.65 , 3.39 , 17.23 , (25.47), 1.33 , 0.62 , (2.08)
Cash from Financing Activity, (43.99), 24.11 , 2.34 , (1.16), (0.23), (1.20), 19.80 , (21.67), (0.72), (7.72)
Net Cash Flow, 9.00 , (16.73), 3.77 , (1.18), (7.66), 4.51 , 0.15 , (4.25), (2.54), 3.81 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
