ESSAR SHIPPING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 205.23 , 205.23 , 205.23 , 205.23 , 205.23 , 206.98 , 206.98 , 206.98 
Reserves, -   , -   ," 4,938.39 "," 5,005.65 "," 4,943.01 "," 4,684.00 "," 4,600.01 "," 1,562.76 "," 1,487.32 "," 1,583.81 "
Borrowings, -   , -   ," 3,159.16 "," 3,612.52 "," 3,571.91 "," 3,774.52 "," 3,644.51 "," 3,836.96 "," 3,856.45 "," 3,088.98 "
Other Liabilities, -   , -   , 117.71 , 241.01 , 361.28 , 384.32 , 548.92 , 831.47 , 746.00 ," 1,088.05 "
Total, -   , -   ," 8,420.49 "," 9,064.41 "," 9,081.43 "," 9,048.07 "," 8,998.67 "," 6,438.17 "," 6,296.75 "," 5,967.82 "
,,,,,,,,,,
Net Block, -   , -   ," 1,745.80 "," 1,867.04 "," 1,745.58 "," 1,606.15 "," 1,500.43 "," 1,294.72 "," 1,175.90 ", 914.17 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   ," 5,629.88 "," 6,323.92 "," 6,448.69 "," 6,363.48 "," 6,360.86 "," 4,454.28 "," 4,370.58 "," 4,417.37 "
Other Assets, -   , -   ," 1,044.81 ", 873.45 , 887.16 ," 1,078.44 "," 1,137.38 ", 689.17 , 750.27 , 636.28 
Total, -   , -   ," 8,420.49 "," 9,064.41 "," 9,081.43 "," 9,048.07 "," 8,998.67 "," 6,438.17 "," 6,296.75 "," 5,967.82 "
,,,,,,,,,,
Working Capital, -   , -   , 927.10 , 632.44 , 525.88 , 694.12 , 588.46 , (142.30), 4.27 , (451.77)
Debtors, -   , -   , 114.05 , 119.34 , 61.14 , 53.66 , 68.90 , 127.74 , 275.90 , 56.36 
Inventory, -   , -   , 25.27 , 40.89 , 37.31 , 22.72 , 14.18 , 17.42 , 12.49 , 13.93 
,,,,,,,,,,
Debtor Days, -   , -   , 80.88 , 34.98 , 14.99 , 22.42 , 31.79 , 63.98 , 153.11 , 31.97 
Inventory Turnover, -   , -   , 20.37 , 30.46 , 39.89 , 38.45 , 55.79 , 41.83 , 52.66 , 46.19 
,,,,,,,,,,
Return on Equity,,,2%,2%,-2%,-5%,-2%,-11%,-8%,3%
Return on Capital Emp,,,5%,4%,2%,1%,2%,2%,4%,6%
,,,,,,,,,,
