INDIAN TERRAIN FASHIONS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 121.11 , 140.97 , 156.70 , 232.06 , 290.41 , 325.01 , 325.91 , 401.45 , 422.37 , 494.50 , 449.59 
Expenses, -   , -   , 108.70 , 128.51 , 141.49 , 207.88 , 256.89 , 283.91 , 285.89 , 353.59 , 371.54 , 433.89 , 398.45 
Operating Profit, -   , -   , 12.41 , 12.46 , 15.21 , 24.18 , 33.52 , 41.10 , 40.02 , 47.86 , 50.83 , 60.61 , 51.14 
Other Income, -   , -   , 0.65 , 0.59 , 0.56 , 0.28 , 0.78 , 5.16 , 5.30 , 2.50 , 2.98 , -   , -   
Depreciation, -   , -   , 1.09 , 0.81 , 1.44 , 2.46 , 2.92 , 2.31 , 3.14 , 4.22 , 5.54 , 5.54 , 5.54 
Interest, -   , -   , 5.48 , 9.90 , 9.54 , 9.50 , 8.63 , 6.97 , 8.93 , 7.04 , 8.46 , 8.46 , 8.46 
Profit before tax, -   , -   , 6.49 , 2.34 , 4.79 , 12.50 , 22.75 , 36.98 , 33.25 , 39.10 , 39.81 , 46.61 , 37.14 
Tax, -   , -   , 0.18 , 0.57 , 0.68 , 2.62 , 4.77 , 3.96 , 10.41 , 13.66 , 14.10 ,35%,35%
Net profit, -   , -   , 6.31 , 1.77 , 4.11 , 9.88 , 17.98 , 33.02 , 22.84 , 25.44 , 25.71 , 30.10 , 23.98 
EPS, -   , -   , 2.26 , 0.63 , 1.47 , 3.47 , 5.00 , 8.99 , 6.02 , 6.71 , 6.78 , 7.93 , 6.32 
Price to earning,  ,  , 6.51 , 20.52 , 5.80 , 9.17 , 27.40 , 14.78 , 30.67 , 28.49 , 16.73 , 22.67 , 16.73 
Price, -   , -   , 14.71 , 13.02 , 8.50 , 31.85 , 137.05 , 132.96 , 184.64 , 191.02 , 113.40 , 179.84 , 105.79 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,10.25%,8.84%,9.71%,10.42%,11.54%,12.65%,12.28%,11.92%,12.03%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,18.67%,20.70%,11.40%,23.18%,23.18%,11.40%
,,,,,,OPM,11.37%,11.45%,11.85%,12.26%,12.03%,12.26%,11.37%
,,,,,,Price to Earning, 17.79 , 19.20 , 21.21 , 22.67 , 16.73 , 22.67 , 16.73 
