INFIBEAM AVENUES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 29.58 , 29.58 , 37.60 , 39.57 , 42.56 , 53.09 , 53.89 , 54.28 
Reserves, -   , -   , (19.77), (19.77), 19.57 , 100.74 , 229.36 , 675.82 , 751.06 ," 2,536.54 "
Borrowings, -   , -   , 4.17 , 44.90 , 17.24 , 4.37 , 2.00 , 2.00 , 85.00 , 56.95 
Other Liabilities, -   , -   , 0.01 , 8.03 , 0.18 , 1.48 , 11.84 , 35.30 , 108.19 , 211.01 
Total, -   , -   , 13.99 , 62.74 , 74.59 , 146.16 , 285.76 , 766.21 , 998.14 ," 2,858.78 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 3.87 , 7.42 , 11.49 , 17.01 , 22.38 ," 2,018.90 "
Capital Work in Progress, -   , -   , -   , -   , 0.54 , 3.73 , 3.41 , 4.71 , 105.59 , 33.36 
Investments, -   , -   , 10.01 , 10.02 , 10.05 , 15.26 , 15.26 , 89.62 , 75.36 , 74.66 
Other Assets, -   , -   , 3.98 , 52.72 , 60.13 , 119.75 , 255.60 , 654.87 , 794.81 , 731.86 
Total, -   , -   , 13.99 , 62.74 , 74.59 , 146.16 , 285.76 , 766.21 , 998.14 ," 2,858.78 "
,,,,,,,,,,
Working Capital, -   , -   , 3.97 , 44.69 , 59.95 , 118.27 , 243.76 , 619.57 , 686.62 , 520.85 
Debtors, -   , -   , -   , -   , 1.27 , 1.16 , 6.24 , 6.86 , 11.48 , 37.96 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 181.07 , 39.24 , 77.92 , 58.08 , 78.84 , 45.30 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,-206%,0%,-2%,-1%,-3%,6%,0%,1%
Return on Capital Emp,,,-290%,0%,0%,-1%,-4%,5%,6%,2%
,,,,,,,,,,
