CASTROL INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Trailing,Best Case,Worst Case
Sales," 2,318.19 "," 2,734.76 "," 2,993.27 "," 3,120.86 "," 3,179.62 "," 3,392.33 "," 3,298.03 "," 3,370.33 "," 3,584.32 "," 3,904.55 "," 3,953.70 "," 4,253.39 "," 4,057.55 "
Expenses," 1,733.34 "," 2,007.37 "," 2,313.68 "," 2,496.15 "," 2,492.14 "," 2,674.66 "," 2,397.29 "," 2,370.98 "," 2,551.20 "," 2,833.78 "," 2,874.20 "," 3,037.90 "," 3,036.60 "
Operating Profit, 584.85 , 727.39 , 679.59 , 624.71 , 687.48 , 717.67 , 900.74 , 999.35 ," 1,033.12 "," 1,070.77 "," 1,079.50 "," 1,215.49 "," 1,020.95 "
Other Income, 26.42 , 37.04 , 63.15 , 70.39 , 106.44 , 47.15 , 90.01 , 87.39 , 83.65 , 84.31 , 82.60 , -   , -   
Depreciation, 27.18 , 24.33 , 25.11 , 26.64 , 30.45 , 36.13 , 38.97 , 44.96 , 45.50 , 55.57 , 57.50 , 57.50 , 57.50 
Interest, 3.45 , 2.42 , 1.68 , 2.14 , 1.71 , 2.38 , 0.83 , 1.48 , 1.20 , 1.09 , 0.70 , 0.70 , 0.70 
Profit before tax, 580.64 , 737.68 , 715.95 , 666.32 , 761.76 , 726.31 , 950.95 ," 1,040.30 "," 1,070.07 "," 1,098.42 "," 1,103.90 "," 1,157.29 ", 962.75 
Tax, 199.58 , 247.37 , 234.92 , 218.93 , 253.19 , 251.75 , 335.69 , 369.92 , 378.26 , 390.06 , 392.40 ,36%,36%
Net profit, 381.06 , 490.31 , 481.03 , 447.39 , 508.57 , 474.56 , 615.26 , 670.38 , 691.81 , 708.36 , 711.50 , 745.91 , 620.53 
EPS, 10.27 , 9.91 , 9.73 , 4.52 , 5.14 , 9.60 , 12.44 , 13.56 , 6.99 , 7.16 , 7.19 , 7.54 , 6.27 
Price to earning, 7.42 , 11.17 , 11.00 , 33.72 , 29.14 , 26.10 , 17.28 , 14.57 , 27.11 , 22.05 , 20.75 , 21.12 , 20.03 
Price, 76.26 , 110.76 , 107.03 , 152.53 , 149.81 , 250.40 , 214.91 , 197.45 , 189.58 , 157.89 , 149.25 , 159.25 , 125.64 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,81.12%,75.65%,77.11%,116.07%,68.07%,78.16%,72.34%,81.15%,100.08%,69.82%,,,
OPM,25.23%,26.60%,22.70%,20.02%,21.62%,21.16%,27.31%,29.65%,28.82%,27.42%,27.30%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.96%,3.87%,4.19%,5.79%,8.93%,8.93%,3.87%
,,,,,,OPM,25.16%,25.30%,26.90%,28.58%,27.30%,28.58%,25.16%
,,,,,,Price to Earning, 20.03 , 23.84 , 21.31 , 21.12 , 20.75 , 21.12 , 20.03 
