DE NORA INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 19.38 , 13.22 , 16.86 , 34.07 , 64.25 , 35.81 , 30.52 , 50.83 , 26.67 , 27.03 , 32.78 , 32.78 , 21.82 
Expenses, 18.77 , 13.51 , 14.58 , 27.46 , 45.55 , 28.91 , 25.38 , 35.33 , 24.62 , 24.98 , 32.41 , 26.63 , 21.57 
Operating Profit, 0.61 , (0.29), 2.28 , 6.61 , 18.70 , 6.90 , 5.14 , 15.50 , 2.05 , 2.05 , 0.37 , 6.15 , 0.25 
Other Income, 3.22 , 2.31 , 1.81 , 1.19 , 1.41 , 1.08 , 2.24 , 3.77 , 3.31 , 3.16 , 3.98 , -   , -   
Depreciation, 0.77 , 0.65 , 0.71 , 0.60 , 0.60 , 0.71 , 1.20 , 1.16 , 0.85 , 2.13 , 2.53 , 2.53 , 2.53 
Interest, 0.09 , 0.11 , 0.07 , 0.31 , 0.24 , 0.34 , 0.16 , 0.12 , 0.06 , 0.01 , -   , -   , -   
Profit before tax, 2.97 , 1.26 , 3.31 , 6.89 , 19.26 , 6.92 , 6.02 , 17.99 , 4.45 , 3.07 , 1.82 , 3.62 , (2.28)
Tax, 0.91 , 1.12 , 0.25 , 2.11 , 5.96 , 2.14 , 1.77 , 6.01 , 1.47 , 1.38 , 0.22 ,12%,12%
Net profit, 2.06 , 0.14 , 3.06 , 4.78 , 13.31 , 4.78 , 4.25 , 11.98 , 2.98 , 1.69 , 1.59 , 3.18 , (2.01)
EPS, 3.71 , 0.25 , 5.51 , 8.78 , 25.07 , 9.00 , 8.01 , 22.57 , 5.61 , 3.18 , 2.99 , 5.99 , (3.78)
Price to earning, 11.72 , 264.87 , 12.45 , 11.13 , 9.88 , 15.06 , 18.33 , 15.38 , 46.90 , 140.90 , 84.26 , 84.26 , 42.73 
Price, 43.47 , 66.75 , 68.57 , 97.69 , 247.63 , 135.61 , 146.73 , 347.06 , 263.26 , 448.56 , 252.30 , 504.49 , (161.55)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,67.48%,0.00%,90.85%,68.20%,27.95%,44.35%,18.82%,17.70%,35.57%,31.36%,,,
OPM,3.15%,0.00%,13.52%,19.40%,29.11%,19.27%,16.84%,30.49%,7.69%,7.58%,1.13%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.77%,6.98%,-15.90%,-3.97%,21.27%,21.27%,-15.90%
,,,,,,OPM,18.78%,21.16%,18.52%,18.75%,1.13%,18.75%,1.13%
,,,,,,Price to Earning, 57.35 , 42.73 , 53.47 , 71.86 , 84.26 , 84.26 , 42.73 
