AMBER ENTERPRISES INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 542.20 , 821.15 , 838.31 ," 1,081.23 ", 978.07 ," 1,561.94 "," 1,923.07 "," 2,188.41 "," 2,367.70 "," 2,329.10 "
Expenses, -   , -   , -   , 504.94 , 769.51 , 774.51 , 991.03 , 877.60 ," 1,436.11 "," 1,751.62 "," 2,000.07 "," 2,156.69 "," 2,136.46 "
Operating Profit, -   , -   , -   , 37.26 , 51.64 , 63.80 , 90.20 , 100.47 , 125.83 , 171.45 , 188.34 , 211.01 , 192.63 
Other Income, -   , -   , -   , 2.06 , 5.11 , 6.50 , 6.23 , 2.29 , 8.16 , 7.69 , 8.96 , -   , -   
Depreciation, -   , -   , -   , 13.36 , 11.89 , 16.71 , 23.22 , 28.03 , 36.13 , 43.16 , 49.59 , 49.59 , 49.59 
Interest, -   , -   , -   , 12.66 , 18.83 , 28.37 , 38.05 , 48.34 , 59.34 , 46.81 , 14.77 , 14.77 , 14.77 
Profit before tax, -   , -   , -   , 13.31 , 26.05 , 25.23 , 35.15 , 26.41 , 38.52 , 89.18 , 132.94 , 146.65 , 128.27 
Tax, -   , -   , -   , -   , 7.49 , 6.32 , 9.88 , 5.99 , 14.35 , 27.18 , 40.40 ,30%,30%
Net profit, -   , -   , -   , 13.31 , 18.55 , 18.91 , 25.28 , 20.42 , 24.17 , 61.99 , 92.53 , 102.08 , 89.29 
EPS, -   , -   , -   , 9.29 , 10.37 , 8.71 , 11.65 , 9.41 , 10.15 , 19.71 , 29.42 , 32.46 , 28.39 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 56.17 , 28.07 , 42.12 , 28.07 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,107.22 ", 825.95 ," 1,367.28 ", 797.05 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,43.05%,30.84%,0.00%,0.00%,0.00%,22.76%,0.00%,,,
OPM,0.00%,0.00%,0.00%,6.87%,6.29%,7.61%,8.34%,10.27%,8.06%,8.92%,8.61%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,18.55%,21.16%,23.12%,23.12%,18.55%
,,,,,,OPM,8.27%,8.27%,8.64%,8.91%,8.61%,8.91%,8.27%
,,,,,,Price to Earning, 42.12 , 42.12 , 42.12 , 42.12 , 28.07 , 42.12 , 28.07 
