LINDE INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Equity Share Capital, 85.28 , 85.28 , 85.28 , 85.28 , 85.28 , 85.28 , 85.28 , 85.28 , 85.28 , 85.28 
Reserves, 972.84 ," 1,029.78 "," 1,176.70 "," 1,248.63 "," 1,342.04 "," 1,303.94 "," 1,307.30 "," 1,310.06 "," 1,322.43 "," 1,341.52 "
Borrowings, 117.61 , 469.16 , 838.04 ," 1,098.96 "," 1,527.81 "," 1,564.43 "," 1,388.26 "," 1,445.35 "," 1,281.86 "," 1,189.69 "
Other Liabilities, 588.79 , 764.65 , 889.65 ," 1,016.96 "," 1,048.47 "," 1,022.20 "," 1,036.49 ", 998.91 , 970.71 ," 1,074.20 "
Total," 1,764.52 "," 2,348.87 "," 2,989.67 "," 3,449.83 "," 4,003.60 "," 3,975.85 "," 3,817.33 "," 3,839.60 "," 3,660.28 "," 3,690.69 "
,,,,,,,,,,
Net Block, 690.05 , 842.57 , 992.78 ," 1,684.11 "," 1,664.87 "," 2,200.78 "," 2,157.59 "," 2,572.75 "," 2,497.55 "," 2,161.55 "
Capital Work in Progress, 426.53 , 787.22 , 499.05 , 576.18 , 743.73 , 356.09 , 576.55 , 80.29 , 35.91 , 44.46 
Investments, 15.00 , 15.00 , 15.00 , 15.00 , 15.01 , 15.01 , 15.01 , 15.02 , 15.03 , 0.03 
Other Assets, 632.94 , 704.08 ," 1,482.84 "," 1,174.54 "," 1,579.99 "," 1,403.97 "," 1,068.18 "," 1,171.54 "," 1,111.79 "," 1,484.65 "
Total," 1,764.52 "," 2,348.87 "," 2,989.67 "," 3,449.83 "," 4,003.60 "," 3,975.85 "," 3,817.33 "," 3,839.60 "," 3,660.28 "," 3,690.69 "
,,,,,,,,,,
Working Capital, 44.15 , (60.57), 593.19 , 157.58 , 531.52 , 381.77 , 31.69 , 172.63 , 141.08 , 410.45 
Debtors, 120.32 , 201.48 , 324.03 , 309.56 , 290.83 , 307.39 , 336.28 , 356.85 , 352.72 , 355.05 
Inventory, 67.57 , 65.40 , 73.95 , 71.49 , 76.29 , 70.86 , 65.30 , 68.68 , 68.33 , 70.96 
,,,,,,,,,,
Debtor Days, 54.62 , 74.60 , 102.57 , 85.31 , 74.31 , 75.23 , 78.35 , 71.36 , 63.32 , 59.13 
Inventory Turnover, 11.90 , 15.07 , 15.59 , 18.53 , 18.72 , 21.05 , 23.99 , 26.58 , 29.75 , 30.89 
,,,,,,,,,,
Return on Equity,5%,8%,10%,7%,5%,0%,2%,1%,1%,2%
Return on Capital Emp,,9%,10%,7%,7%,4%,3%,4%,5%,6%
,,,,,,,,,,
