ABBOTT INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Nov-08,Nov-09,Dec-10,Dec-11,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 13.68 , 13.68 , 13.68 , 21.25 , 21.25 , 21.25 , 21.25 , 21.25 , 21.25 , 21.25 
Reserves, 207.57 , 257.88 , 291.71 , 522.89 , 625.61 , 766.60 , 916.28 ," 1,174.35 "," 1,365.69 "," 1,671.51 "
Borrowings, 0.76 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 130.58 , 119.37 , 151.95 , 257.69 , 271.71 , 362.80 , 444.77 , 430.92 , 688.19 , 735.10 
Total, 352.59 , 390.93 , 457.34 , 801.83 , 918.57 ," 1,150.65 "," 1,382.30 "," 1,626.52 "," 2,075.13 "," 2,427.86 "
,,,,,,,,,,
Net Block, 47.93 , 48.79 , 49.71 , 79.66 , 108.67 , 98.25 , 96.04 , 108.46 , 109.60 , 81.38 
Capital Work in Progress, 2.70 , 0.36 , 0.86 , 0.36 , 0.51 , 1.27 , 3.91 , 2.83 , 6.28 , 2.17 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 301.96 , 341.78 , 406.77 , 721.81 , 809.39 ," 1,051.13 "," 1,282.35 "," 1,515.23 "," 1,959.25 "," 2,344.31 "
Total, 352.59 , 390.93 , 457.34 , 801.83 , 918.57 ," 1,150.65 "," 1,382.30 "," 1,626.52 "," 2,075.13 "," 2,427.86 "
,,,,,,,,,,
Working Capital, 171.38 , 222.41 , 254.82 , 464.12 , 537.68 , 688.33 , 837.58 ," 1,084.31 "," 1,271.06 "," 1,609.21 "
Debtors, 32.37 , 44.40 , 65.28 , 132.61 , 141.03 , 109.18 , 129.15 , 145.02 , 176.22 , 263.44 
Inventory, 92.12 , 102.38 , 128.59 , 254.90 , 263.63 , 359.05 , 384.13 , 370.10 , 500.63 , 585.33 
,,,,,,,,,,
Debtor Days, 17.74 , 21.30 , 24.07 , 32.48 , 31.15 , 17.51 , 20.59 , 20.25 , 22.16 , 29.15 
Inventory Turnover, 7.23 , 7.43 , 7.70 , 5.85 , 6.27 , 6.34 , 5.96 , 7.06 , 5.80 , 5.64 
,,,,,,,,,,
Return on Equity,28%,29%,20%,22%,22%,25%,24%,21%,20%,24%
Return on Capital Emp,,48%,33%,42%,36%,41%,40%,38%,34%,41%
,,,,,,,,,,
